"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code",Deaths,Population,Crude Rate
,"< 1 year","0","Female","F","Not Hispanic or Latino","2186-2",233,56537,412.1
,"1 year","1","Female","F","Not Hispanic or Latino","2186-2",14,55176,Unreliable
,"2 years","2","Female","F","Not Hispanic or Latino","2186-2",Suppressed,54394,Suppressed
,"3 years","3","Female","F","Not Hispanic or Latino","2186-2",Suppressed,53680,Suppressed
,"4 years","4","Female","F","Not Hispanic or Latino","2186-2",Suppressed,52949,Suppressed
,"5 years","5","Female","F","Not Hispanic or Latino","2186-2",Suppressed,52816,Suppressed
,"6 years","6","Female","F","Not Hispanic or Latino","2186-2",Suppressed,52877,Suppressed
,"7 years","7","Female","F","Not Hispanic or Latino","2186-2",Suppressed,52399,Suppressed
,"8 years","8","Female","F","Not Hispanic or Latino","2186-2",Suppressed,51646,Suppressed
,"9 years","9","Female","F","Not Hispanic or Latino","2186-2",Suppressed,51512,Suppressed
,"10 years","10","Female","F","Not Hispanic or Latino","2186-2",Suppressed,51191,Suppressed
,"11 years","11","Female","F","Not Hispanic or Latino","2186-2",Suppressed,51162,Suppressed
,"12 years","12","Female","F","Not Hispanic or Latino","2186-2",Suppressed,51381,Suppressed
,"13 years","13","Female","F","Not Hispanic or Latino","2186-2",Suppressed,52038,Suppressed
,"14 years","14","Female","F","Not Hispanic or Latino","2186-2",10,52870,Unreliable
,"15 years","15","Female","F","Not Hispanic or Latino","2186-2",Suppressed,53556,Suppressed
,"16 years","16","Female","F","Not Hispanic or Latino","2186-2",Suppressed,54730,Suppressed
,"17 years","17","Female","F","Not Hispanic or Latino","2186-2",Suppressed,55451,Suppressed
,"18 years","18","Female","F","Not Hispanic or Latino","2186-2",14,59675,Unreliable
,"19 years","19","Female","F","Not Hispanic or Latino","2186-2",17,62304,Unreliable
,"20 years","20","Female","F","Not Hispanic or Latino","2186-2",13,64921,Unreliable
,"21 years","21","Female","F","Not Hispanic or Latino","2186-2",26,70144,37.1
,"22 years","22","Female","F","Not Hispanic or Latino","2186-2",26,77181,33.7
,"23 years","23","Female","F","Not Hispanic or Latino","2186-2",23,82703,27.8
,"24 years","24","Female","F","Not Hispanic or Latino","2186-2",28,84301,33.2
,"25 years","25","Female","F","Not Hispanic or Latino","2186-2",25,84275,29.7
,"26 years","26","Female","F","Not Hispanic or Latino","2186-2",29,82442,35.2
,"27 years","27","Female","F","Not Hispanic or Latino","2186-2",33,81326,40.6
,"28 years","28","Female","F","Not Hispanic or Latino","2186-2",35,80243,43.6
,"29 years","29","Female","F","Not Hispanic or Latino","2186-2",29,79377,36.5
,"30 years","30","Female","F","Not Hispanic or Latino","2186-2",42,78471,53.5
,"31 years","31","Female","F","Not Hispanic or Latino","2186-2",35,75956,46.1
,"32 years","32","Female","F","Not Hispanic or Latino","2186-2",41,74422,55.1
,"33 years","33","Female","F","Not Hispanic or Latino","2186-2",39,71682,54.4
,"34 years","34","Female","F","Not Hispanic or Latino","2186-2",34,69751,48.7
,"35 years","35","Female","F","Not Hispanic or Latino","2186-2",45,67518,66.6
,"36 years","36","Female","F","Not Hispanic or Latino","2186-2",47,65959,71.3
,"37 years","37","Female","F","Not Hispanic or Latino","2186-2",37,64972,56.9
,"38 years","38","Female","F","Not Hispanic or Latino","2186-2",58,64492,89.9
,"39 years","39","Female","F","Not Hispanic or Latino","2186-2",51,65977,77.3
,"40 years","40","Female","F","Not Hispanic or Latino","2186-2",64,67505,94.8
,"41 years","41","Female","F","Not Hispanic or Latino","2186-2",70,68933,101.5
,"42 years","42","Female","F","Not Hispanic or Latino","2186-2",92,69498,132.4
,"43 years","43","Female","F","Not Hispanic or Latino","2186-2",95,69870,136.0
,"44 years","44","Female","F","Not Hispanic or Latino","2186-2",92,69192,133.0
,"45 years","45","Female","F","Not Hispanic or Latino","2186-2",110,69499,158.3
,"46 years","46","Female","F","Not Hispanic or Latino","2186-2",137,70755,193.6
,"47 years","47","Female","F","Not Hispanic or Latino","2186-2",151,73072,206.6
,"48 years","48","Female","F","Not Hispanic or Latino","2186-2",169,75222,224.7
,"49 years","49","Female","F","Not Hispanic or Latino","2186-2",193,77864,247.9
,"50 years","50","Female","F","Not Hispanic or Latino","2186-2",187,79911,234.0
,"51 years","51","Female","F","Not Hispanic or Latino","2186-2",225,80068,281.0
