"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code",Deaths,Population,Crude Rate
,"< 1 year","0","Male","M","Not Hispanic or Latino","2186-2",49587,7462075,664.5
,"1 year","1","Male","M","Not Hispanic or Latino","2186-2",3383,7502881,45.1
,"2 years","2","Male","M","Not Hispanic or Latino","2186-2",2315,7559734,30.6
,"3 years","3","Male","M","Not Hispanic or Latino","2186-2",1797,7590828,23.7
,"4 years","4","Male","M","Not Hispanic or Latino","2186-2",1414,7593949,18.6
,"5 years","5","Male","M","Not Hispanic or Latino","2186-2",1183,7605306,15.6
,"6 years","6","Male","M","Not Hispanic or Latino","2186-2",1023,7670040,13.3
,"7 years","7","Male","M","Not Hispanic or Latino","2186-2",1006,7746430,13.0
,"8 years","8","Male","M","Not Hispanic or Latino","2186-2",1021,7805741,13.1
,"9 years","9","Male","M","Not Hispanic or Latino","2186-2",1006,7868514,12.8
,"10 years","10","Male","M","Not Hispanic or Latino","2186-2",1073,7941367,13.5
,"11 years","11","Male","M","Not Hispanic or Latino","2186-2",1090,7959894,13.7
,"12 years","12","Male","M","Not Hispanic or Latino","2186-2",1292,7964357,16.2
,"13 years","13","Male","M","Not Hispanic or Latino","2186-2",1690,8024549,21.1
,"14 years","14","Male","M","Not Hispanic or Latino","2186-2",2145,8117286,26.4
,"15 years","15","Male","M","Not Hispanic or Latino","2186-2",3000,8176188,36.7
,"16 years","16","Male","M","Not Hispanic or Latino","2186-2",4226,8251079,51.2
,"17 years","17","Male","M","Not Hispanic or Latino","2186-2",5618,8342247,67.3
,"18 years","18","Male","M","Not Hispanic or Latino","2186-2",7812,8413518,92.9
,"19 years","19","Male","M","Not Hispanic or Latino","2186-2",9166,8494639,107.9
,"20 years","20","Male","M","Not Hispanic or Latino","2186-2",9966,8628460,115.5
,"21 years","21","Male","M","Not Hispanic or Latino","2186-2",11754,8790739,133.7
,"22 years","22","Male","M","Not Hispanic or Latino","2186-2",12585,8995547,139.9
,"23 years","23","Male","M","Not Hispanic or Latino","2186-2",13489,9209113,146.5
,"24 years","24","Male","M","Not Hispanic or Latino","2186-2",14347,9365530,153.2
,"25 years","25","Male","M","Not Hispanic or Latino","2186-2",14917,9404896,158.6
,"26 years","26","Male","M","Not Hispanic or Latino","2186-2",15177,9352467,162.3
,"27 years","27","Male","M","Not Hispanic or Latino","2186-2",15604,9218141,169.3
,"28 years","28","Male","M","Not Hispanic or Latino","2186-2",15976,9048748,176.6
,"29 years","29","Male","M","Not Hispanic or Latino","2186-2",15944,8894356,179.3
,"30 years","30","Male","M","Not Hispanic or Latino","2186-2",16016,8751669,183.0
,"31 years","31","Male","M","Not Hispanic or Latino","2186-2",16505,8684469,190.1
,"32 years","32","Male","M","Not Hispanic or Latino","2186-2",16974,8642424,196.4
,"33 years","33","Male","M","Not Hispanic or Latino","2186-2",17245,8579369,201.0
,"34 years","34","Male","M","Not Hispanic or Latino","2186-2",17984,8542921,210.5
,"35 years","35","Male","M","Not Hispanic or Latino","2186-2",18310,8463245,216.3
,"36 years","36","Male","M","Not Hispanic or Latino","2186-2",18430,8321470,221.5
,"37 years","37","Male","M","Not Hispanic or Latino","2186-2",18734,8165613,229.4
,"38 years","38","Male","M","Not Hispanic or Latino","2186-2",18922,7982103,237.1
,"39 years","39","Male","M","Not Hispanic or Latino","2186-2",19314,7825538,246.8
,"40 years","40","Male","M","Not Hispanic or Latino","2186-2",19547,7724157,253.1
,"41 years","41","Male","M","Not Hispanic or Latino","2186-2",20779,7692962,270.1
,"42 years","42","Male","M","Not Hispanic or Latino","2186-2",21548,7775582,277.1
,"43 years","43","Male","M","Not Hispanic or Latino","2186-2",23699,8024961,295.3
,"44 years","44","Male","M","Not Hispanic or Latino","2186-2",26090,8248593,316.3
,"45 years","45","Male","M","Not Hispanic or Latino","2186-2",28833,8428280,342.1
,"46 years","46","Male","M","Not Hispanic or Latino","2186-2",31627,8541192,370.3
,"47 years","47","Male","M","Not Hispanic or Latino","2186-2",34248,8571105,399.6
,"48 years","48","Male","M","Not Hispanic or Latino","2186-2",37123,8525323,435.4
,"49 years","49","Male","M","Not Hispanic or Latino","2186-2",40878,8566288,477.2
