"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code",Deaths,Population,Crude Rate
,"< 1 year","0","Male","M","Not Hispanic or Latino","2186-2",55549,7586955,732.2
,"1 year","1","Male","M","Not Hispanic or Latino","2186-2",3760,7634615,49.2
,"2 years","2","Male","M","Not Hispanic or Latino","2186-2",2509,7680387,32.7
,"3 years","3","Male","M","Not Hispanic or Latino","2186-2",1968,7736288,25.4
,"4 years","4","Male","M","Not Hispanic or Latino","2186-2",1495,7837903,19.1
,"5 years","5","Male","M","Not Hispanic or Latino","2186-2",1228,7878270,15.6
,"6 years","6","Male","M","Not Hispanic or Latino","2186-2",1042,7865532,13.2
,"7 years","7","Male","M","Not Hispanic or Latino","2186-2",1090,7918713,13.8
,"8 years","8","Male","M","Not Hispanic or Latino","2186-2",1098,7944596,13.8
,"9 years","9","Male","M","Not Hispanic or Latino","2186-2",1007,7969282,12.6
,"10 years","10","Male","M","Not Hispanic or Latino","2186-2",1040,8172906,12.7
,"11 years","11","Male","M","Not Hispanic or Latino","2186-2",1177,8191586,14.4
,"12 years","12","Male","M","Not Hispanic or Latino","2186-2",1310,8281994,15.8
,"13 years","13","Male","M","Not Hispanic or Latino","2186-2",1678,8330893,20.1
,"14 years","14","Male","M","Not Hispanic or Latino","2186-2",2123,8393165,25.3
,"15 years","15","Male","M","Not Hispanic or Latino","2186-2",2973,8555392,34.8
,"16 years","16","Male","M","Not Hispanic or Latino","2186-2",4510,8743531,51.6
,"17 years","17","Male","M","Not Hispanic or Latino","2186-2",6028,8927309,67.5
,"18 years","18","Male","M","Not Hispanic or Latino","2186-2",8815,9129171,96.6
,"19 years","19","Male","M","Not Hispanic or Latino","2186-2",10196,9205622,110.8
,"20 years","20","Male","M","Not Hispanic or Latino","2186-2",10943,9091100,120.4
,"21 years","21","Male","M","Not Hispanic or Latino","2186-2",12045,8991343,134.0
,"22 years","22","Male","M","Not Hispanic or Latino","2186-2",12237,8815556,138.8
,"23 years","23","Male","M","Not Hispanic or Latino","2186-2",12129,8654011,140.2
,"24 years","24","Male","M","Not Hispanic or Latino","2186-2",12168,8531328,142.6
,"25 years","25","Male","M","Not Hispanic or Latino","2186-2",12178,8498830,143.3
,"26 years","26","Male","M","Not Hispanic or Latino","2186-2",12343,8419650,146.6
,"27 years","27","Male","M","Not Hispanic or Latino","2186-2",12189,8413689,144.9
,"28 years","28","Male","M","Not Hispanic or Latino","2186-2",12511,8354059,149.8
,"29 years","29","Male","M","Not Hispanic or Latino","2186-2",12734,8239243,154.6
,"30 years","30","Male","M","Not Hispanic or Latino","2186-2",12732,8236050,154.6
,"31 years","31","Male","M","Not Hispanic or Latino","2186-2",12729,7982773,159.5
,"32 years","32","Male","M","Not Hispanic or Latino","2186-2",12530,7908828,158.4
,"33 years","33","Male","M","Not Hispanic or Latino","2186-2",12656,7723599,163.9
,"34 years","34","Male","M","Not Hispanic or Latino","2186-2",12774,7663874,166.7
,"35 years","35","Male","M","Not Hispanic or Latino","2186-2",13321,7677693,173.5
,"36 years","36","Male","M","Not Hispanic or Latino","2186-2",13995,7756047,180.4
,"37 years","37","Male","M","Not Hispanic or Latino","2186-2",15457,8026931,192.6
