"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code",Deaths,Population,Crude Rate
,"< 1 year","0","Female","F","Not Hispanic or Latino","2186-2",1980,563328,351.5
,"1 year","1","Female","F","Not Hispanic or Latino","2186-2",142,562322,25.3
,"2 years","2","Female","F","Not Hispanic or Latino","2186-2",97,576667,16.8
,"3 years","3","Female","F","Not Hispanic or Latino","2186-2",70,585486,12.0
,"4 years","4","Female","F","Not Hispanic or Latino","2186-2",60,583715,10.3
,"5 years","5","Female","F","Not Hispanic or Latino","2186-2",45,583445,7.7
,"6 years","6","Female","F","Not Hispanic or Latino","2186-2",54,577625,9.3
,"7 years","7","Female","F","Not Hispanic or Latino","2186-2",43,574056,7.5
,"8 years","8","Female","F","Not Hispanic or Latino","2186-2",58,573612,10.1
,"9 years","9","Female","F","Not Hispanic or Latino","2186-2",54,576851,9.4
,"10 years","10","Female","F","Not Hispanic or Latino","2186-2",39,576408,6.8
,"11 years","11","Female","F","Not Hispanic or Latino","2186-2",47,581609,8.1
,"12 years","12","Female","F","Not Hispanic or Latino","2186-2",55,587980,9.4
,"13 years","13","Female","F","Not Hispanic or Latino","2186-2",71,589795,12.0
,"14 years","14","Female","F","Not Hispanic or Latino","2186-2",86,591048,14.6
,"15 years","15","Female","F","Not Hispanic or Latino","2186-2",98,596986,16.4
,"16 years","16","Female","F","Not Hispanic or Latino","2186-2",115,604258,19.0
,"17 years","17","Female","F","Not Hispanic or Latino","2186-2",132,611115,21.6
,"18 years","18","Female","F","Not Hispanic or Latino","2186-2",179,640733,27.9
,"19 years","19","Female","F","Not Hispanic or Latino","2186-2",207,612884,33.8
,"20 years","20","Female","F","Not Hispanic or Latino","2186-2",225,616740,36.5
,"21 years","21","Female","F","Not Hispanic or Latino","2186-2",261,631662,41.3
,"22 years","22","Female","F","Not Hispanic or Latino","2186-2",281,662812,42.4
,"23 years","23","Female","F","Not Hispanic or Latino","2186-2",312,706254,44.2
,"24 years","24","Female","F","Not Hispanic or Latino","2186-2",307,740905,41.4
,"25 years","25","Female","F","Not Hispanic or Latino","2186-2",346,789275,43.8
,"26 years","26","Female","F","Not Hispanic or Latino","2186-2",375,833605,45.0
,"27 years","27","Female","F","Not Hispanic or Latino","2186-2",436,866993,50.3
,"28 years","28","Female","F","Not Hispanic or Latino","2186-2",408,884708,46.1
,"29 years","29","Female","F","Not Hispanic or Latino","2186-2",459,888207,51.7
,"30 years","30","Female","F","Not Hispanic or Latino","2186-2",543,877296,61.9
,"31 years","31","Female","F","Not Hispanic or Latino","2186-2",518,863503,60.0
,"32 years","32","Female","F","Not Hispanic or Latino","2186-2",575,848017,67.8
,"33 years","33","Female","F","Not Hispanic or Latino","2186-2",643,836842,76.8
,"34 years","34","Female","F","Not Hispanic or Latino","2186-2",652,834185,78.2
,"35 years","35","Female","F","Not Hispanic or Latino","2186-2",658,826880,79.6
,"36 years","36","Female","F","Not Hispanic or Latino","2186-2",748,819162,91.3
,"37 years","37","Female","F","Not Hispanic or Latino","2186-2",782,804088,97.3
,"38 years","38","Female","F","Not Hispanic or Latino","2186-2",813,786173,103.4
,"39 years","39","Female","F","Not Hispanic or Latino","2186-2",808,768843,105.1
,"40 years","40","Female","F","Not Hispanic or Latino","2186-2",910,750850,121.2
,"41 years","41","Female","F","Not Hispanic or Latino","2186-2",811,738719,109.8
