"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code",Deaths,Population,Crude Rate
,"< 1 year","0","Male","M","Not Hispanic or Latino","2186-2",63993,7861533,814.0
,"1 year","1","Male","M","Not Hispanic or Latino","2186-2",4312,7846287,55.0
,"2 years","2","Male","M","Not Hispanic or Latino","2186-2",2942,7835940,37.5
,"3 years","3","Male","M","Not Hispanic or Latino","2186-2",2239,7866488,28.5
,"4 years","4","Male","M","Not Hispanic or Latino","2186-2",1819,7906399,23.0
,"5 years","5","Male","M","Not Hispanic or Latino","2186-2",1571,7990789,19.7
,"6 years","6","Male","M","Not Hispanic or Latino","2186-2",1413,8102114,17.4
,"7 years","7","Male","M","Not Hispanic or Latino","2186-2",1332,8269137,16.1
,"8 years","8","Male","M","Not Hispanic or Latino","2186-2",1374,8452253,16.3
,"9 years","9","Male","M","Not Hispanic or Latino","2186-2",1393,8663473,16.1
,"10 years","10","Male","M","Not Hispanic or Latino","2186-2",1587,8922392,17.8
,"11 years","11","Male","M","Not Hispanic or Latino","2186-2",1630,8995718,18.1
,"12 years","12","Male","M","Not Hispanic or Latino","2186-2",1988,9064774,21.9
,"13 years","13","Male","M","Not Hispanic or Latino","2186-2",2346,9034246,26.0
,"14 years","14","Male","M","Not Hispanic or Latino","2186-2",2983,8983871,33.2
,"15 years","15","Male","M","Not Hispanic or Latino","2186-2",4062,8899261,45.6
,"16 years","16","Male","M","Not Hispanic or Latino","2186-2",6322,8859869,71.4
,"17 years","17","Male","M","Not Hispanic or Latino","2186-2",7975,8832562,90.3
,"18 years","18","Male","M","Not Hispanic or Latino","2186-2",10431,8812541,118.4
,"19 years","19","Male","M","Not Hispanic or Latino","2186-2",11720,8784506,133.4
,"20 years","20","Male","M","Not Hispanic or Latino","2186-2",11789,8639416,136.5
,"21 years","21","Male","M","Not Hispanic or Latino","2186-2",12554,8494546,147.8
,"22 years","22","Male","M","Not Hispanic or Latino","2186-2",12044,8271714,145.6
,"23 years","23","Male","M","Not Hispanic or Latino","2186-2",11509,8028340,143.4
,"24 years","24","Male","M","Not Hispanic or Latino","2186-2",11168,7795384,143.3
,"25 years","25","Male","M","Not Hispanic or Latino","2186-2",10695,7638427,140.0
,"26 years","26","Male","M","Not Hispanic or Latino","2186-2",10626,7481885,142.0
,"27 years","27","Male","M","Not Hispanic or Latino","2186-2",10527,7512821,140.1
,"28 years","28","Male","M","Not Hispanic or Latino","2186-2",10578,7636388,138.5
,"29 years","29","Male","M","Not Hispanic or Latino","2186-2",11207,7895047,141.9
,"30 years","30","Male","M","Not Hispanic or Latino","2186-2",11560,8227209,140.5
,"31 years","31","Male","M","Not Hispanic or Latino","2186-2",12502,8380155,149.2
,"32 years","32","Male","M","Not Hispanic or Latino","2186-2",13056,8591748,152.0
,"33 years","33","Male","M","Not Hispanic or Latino","2186-2",13932,8653540,161.0
,"34 years","34","Male","M","Not Hispanic or Latino","2186-2",14654,8675584,168.9
,"35 years","35","Male","M","Not Hispanic or Latino","2186-2",16154,8801442,183.5
,"36 years","36","Male","M","Not Hispanic or Latino","2186-2",17370,8982807,193.4
,"37 years","37","Male","M","Not Hispanic or Latino","2186-2",19427,9253461,209.9
,"38 years","38","Male","M","Not Hispanic or Latino","2186-2",21637,9537143,226.9
,"39 years","39","Male","M","Not Hispanic or Latino","2186-2",23625,9793202,241.2
