"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate
,"< 1 year","0","Female","F","Not Hispanic or Latino","2186-2","Asian","A",324,126623,255.9
,"1 year","1","Female","F","Not Hispanic or Latino","2186-2","Asian","A",19,129714,Unreliable
,"2 years","2","Female","F","Not Hispanic or Latino","2186-2","Asian","A",12,137535,Unreliable
,"3 years","3","Female","F","Not Hispanic or Latino","2186-2","Asian","A",14,146280,Unreliable
,"4 years","4","Female","F","Not Hispanic or Latino","2186-2","Asian","A",12,149794,Unreliable
,"5 years","5","Female","F","Not Hispanic or Latino","2186-2","Asian","A",10,152937,Unreliable
,"6 years","6","Female","F","Not Hispanic or Latino","2186-2","Asian","A",14,150425,Unreliable
,"7 years","7","Female","F","Not Hispanic or Latino","2186-2","Asian","A",Suppressed,148413,Suppressed
,"8 years","8","Female","F","Not Hispanic or Latino","2186-2","Asian","A",11,145919,Unreliable
,"9 years","9","Female","F","Not Hispanic or Latino","2186-2","Asian","A",12,145492,Unreliable
,"10 years","10","Female","F","Not Hispanic or Latino","2186-2","Asian","A",11,143969,Unreliable
,"11 years","11","Female","F","Not Hispanic or Latino","2186-2","Asian","A",Suppressed,143749,Suppressed
,"12 years","12","Female","F","Not Hispanic or Latino","2186-2","Asian","A",Suppressed,144860,Suppressed
,"13 years","13","Female","F","Not Hispanic or Latino","2186-2","Asian","A",Suppressed,147217,Suppressed
,"14 years","14","Female","F","Not Hispanic or Latino","2186-2","Asian","A",11,149169,Unreliable
,"15 years","15","Female","F","Not Hispanic or Latino","2186-2","Asian","A",12,149943,Unreliable
,"16 years","16","Female","F","Not Hispanic or Latino","2186-2","Asian","A",16,150200,Unreliable
,"17 years","17","Female","F","Not Hispanic or Latino","2186-2","Asian","A",22,152992,14.4
,"18 years","18","Female","F","Not Hispanic or Latino","2186-2","Asian","A",27,164190,16.4
,"19 years","19","Female","F","Not Hispanic or Latino","2186-2","Asian","A",35,156225,22.4
,"20 years","20","Female","F","Not Hispanic or Latino","2186-2","Asian","A",32,151295,21.2
,"21 years","21","Female","F","Not Hispanic or Latino","2186-2","Asian","A",32,155799,20.5
,"22 years","22","Female","F","Not Hispanic or Latino","2186-2","Asian","A",43,160550,26.8
,"23 years","23","Female","F","Not Hispanic or Latino","2186-2","Asian","A",40,170867,23.4
,"24 years","24","Female","F","Not Hispanic or Latino","2186-2","Asian","A",49,181503,27.0
,"25 years","25","Female","F","Not Hispanic or Latino","2186-2","Asian","A",44,192765,22.8
,"26 years","26","Female","F","Not Hispanic or Latino","2186-2","Asian","A",42,204801,20.5
,"27 years","27","Female","F","Not Hispanic or Latino","2186-2","Asian","A",58,220609,26.3
,"28 years","28","Female","F","Not Hispanic or Latino","2186-2","Asian","A",64,235645,27.2
,"29 years","29","Female","F","Not Hispanic or Latino","2186-2","Asian","A",77,249244,30.9
,"30 years","30","Female","F","Not Hispanic or Latino","2186-2","Asian","A",78,256111,30.5
,"31 years","31","Female","F","Not Hispanic or Latino","2186-2","Asian","A",64,258416,24.8
,"32 years","32","Female","F","Not Hispanic or Latino","2186-2","Asian","A",79,256558,30.8
,"33 years","33","Female","F","Not Hispanic or Latino","2186-2","Asian","A",88,254329,34.6
,"34 years","34","Female","F","Not Hispanic or Latino","2186-2","Asian","A",92,251504,36.6
,"35 years","35","Female","F","Not Hispanic or Latino","2186-2","Asian","A",92,250785,36.7
,"36 years","36","Female","F","Not Hispanic or Latino","2186-2","Asian","A",112,250813,44.7
,"37 years","37","Female","F","Not Hispanic or Latino","2186-2","Asian","A",104,250276,41.6
,"38 years","38","Female","F","Not Hispanic or Latino","2186-2","Asian","A",135,248997,54.2
,"39 years","39","Female","F","Not Hispanic or Latino","2186-2","Asian","A",125,244720,51.1
,"40 years","40","Female","F","Not Hispanic or Latino","2186-2","Asian","A",146,238791,61.1
,"41 years","41","Female","F","Not Hispanic or Latino","2186-2","Asian","A",138,233248,59.2
,"42 years","42","Female","F","Not Hispanic or Latino","2186-2","Asian","A",167,230945,72.3
,"43 years","43","Female","F","Not Hispanic or Latino","2186-2","Asian","A",167,230626,72.4
,"44 years","44","Female","F","Not Hispanic or Latino","2186-2","Asian","A",202,230918,87.5
,"45 years","45","Female","F","Not Hispanic or Latino","2186-2","Asian","A",185,233465,79.2
,"46 years","46","Female","F","Not Hispanic or Latino","2186-2","Asian","A",217,234288,92.6
,"47 years","47","Female","F","Not Hispanic or Latino","2186-2","Asian","A",258,234498,110.0
,"48 years","48","Female","F","Not Hispanic or Latino","2186-2","Asian","A",249,234525,106.2
,"49 years","49","Female","F","Not Hispanic or Latino","2186-2","Asian","A",296,231978,127.6
,"50 years","50","Female","F","Not Hispanic or Latino","2186-2","Asian","A",286,227484,125.7
,"51 years","51","Female","F","Not Hispanic or Latino","2186-2","Asian","A",300,218900,137.0
,"52 years","52","Female","F","Not Hispanic or Latino","2186-2","Asian","A",345,213020,162.0
,"53 years","53","Female","F","Not Hispanic or Latino","2186-2","Asian","A",383,208915,183.3
,"54 years","54","Female","F","Not Hispanic or Latino","2186-2","Asian","A",393,207535,189.4
,"55 years","55","Female","F","Not Hispanic or Latino","2186-2","Asian","A",431,207898,207.3
,"56 years","56","Female","F","Not Hispanic or Latino","2186-2","Asian","A",443,207277,213.7
,"57 years","57","Female","F","Not Hispanic or Latino","2186-2","Asian","A",462,206351,223.9
,"58 years","58","Female","F","Not Hispanic or Latino","2186-2","Asian","A",552,206987,266.7
,"59 years","59","Female","F","Not Hispanic or Latino","2186-2","Asian","A",556,204364,272.1
,"60 years","60","Female","F","Not Hispanic or Latino","2186-2","Asian","A",633,201258,314.5
,"61 years","61","Female","F","Not Hispanic or Latino","2186-2","Asian","A",650,198942,326.7
,"62 years","62","Female","F","Not Hispanic or Latino","2186-2","Asian","A",745,197300,377.6
,"63 years","63","Female","F","Not Hispanic or Latino","2186-2","Asian","A",778,194899,399.2
,"64 years","64","Female","F","Not Hispanic or Latino","2186-2","Asian","A",836,191482,436.6
,"65 years","65","Female","F","Not Hispanic or Latino","2186-2","Asian","A",906,186556,485.6
,"66 years","66","Female","F","Not Hispanic or Latino","2186-2","Asian","A",910,180444,504.3
,"67 years","67","Female","F","Not Hispanic or Latino","2186-2","Asian","A",927,174373,531.6
,"68 years","68","Female","F","Not Hispanic or Latino","2186-2","Asian","A",1066,170105,626.7
,"69 years","69","Female","F","Not Hispanic or Latino","2186-2","Asian","A",1132,164942,686.3
,"70 years","70","Female","F","Not Hispanic or Latino","2186-2","Asian","A",1156,158209,730.7
,"71 years","71","Female","F","Not Hispanic or Latino","2186-2","Asian","A",1306,150742,866.4
,"72 years","72","Female","F","Not Hispanic or Latino","2186-2","Asian","A",1320,140597,938.9
,"73 years","73","Female","F","Not Hispanic or Latino","2186-2","Asian","A",1290,129406,996.9
,"74 years","74","Female","F","Not Hispanic or Latino","2186-2","Asian","A",1419,118740,1195.0
,"75 years","75","Female","F","Not Hispanic or Latino","2186-2","Asian","A",1458,107791,1352.6
,"76 years","76","Female","F","Not Hispanic or Latino","2186-2","Asian","A",1377,97850,1407.3
,"77 years","77","Female","F","Not Hispanic or Latino","2186-2","Asian","A",1560,91315,1708.4
,"78 years","78","Female","F","Not Hispanic or Latino","2186-2","Asian","A",1642,85562,1919.1
,"79 years","79","Female","F","Not Hispanic or Latino","2186-2","Asian","A",1657,80026,2070.6
,"80 years","80","Female","F","Not Hispanic or Latino","2186-2","Asian","A",1837,75615,2429.4
,"81 years","81","Female","F","Not Hispanic or Latino","2186-2","Asian","A",1979,70713,2798.6
,"82 years","82","Female","F","Not Hispanic or Latino","2186-2","Asian","A",2052,66162,3101.5
,"83 years","83","Female","F","Not Hispanic or Latino","2186-2","Asian","A",2184,61584,3546.4
,"84 years","84","Female","F","Not Hispanic or Latino","2186-2","Asian","A",2417,57160,4228.5
