"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code",Deaths,Population,Crude Rate
,"< 1 year","0","Female","F","Not Hispanic or Latino","2186-2",45593,7330949,621.9
,"1 year","1","Female","F","Not Hispanic or Latino","2186-2",3093,7336334,42.2
,"2 years","2","Female","F","Not Hispanic or Latino","2186-2",1867,7378598,25.3
,"3 years","3","Female","F","Not Hispanic or Latino","2186-2",1414,7450938,19.0
,"4 years","4","Female","F","Not Hispanic or Latino","2186-2",1148,7495250,15.3
,"5 years","5","Female","F","Not Hispanic or Latino","2186-2",967,7540499,12.8
,"6 years","6","Female","F","Not Hispanic or Latino","2186-2",914,7572049,12.1
,"7 years","7","Female","F","Not Hispanic or Latino","2186-2",787,7585693,10.4
,"8 years","8","Female","F","Not Hispanic or Latino","2186-2",849,7581865,11.2
,"9 years","9","Female","F","Not Hispanic or Latino","2186-2",829,7611857,10.9
,"10 years","10","Female","F","Not Hispanic or Latino","2186-2",864,7867583,11.0
,"11 years","11","Female","F","Not Hispanic or Latino","2186-2",881,7852010,11.2
,"12 years","12","Female","F","Not Hispanic or Latino","2186-2",929,7943625,11.7
,"13 years","13","Female","F","Not Hispanic or Latino","2186-2",1066,8018358,13.3
,"14 years","14","Female","F","Not Hispanic or Latino","2186-2",1327,8085806,16.4
,"15 years","15","Female","F","Not Hispanic or Latino","2186-2",1716,8268010,20.8
,"16 years","16","Female","F","Not Hispanic or Latino","2186-2",2379,8468859,28.1
,"17 years","17","Female","F","Not Hispanic or Latino","2186-2",2813,8620285,32.6
,"18 years","18","Female","F","Not Hispanic or Latino","2186-2",3414,8789348,38.8
,"19 years","19","Female","F","Not Hispanic or Latino","2186-2",3709,8882988,41.8
,"20 years","20","Female","F","Not Hispanic or Latino","2186-2",3733,8749540,42.7
,"21 years","21","Female","F","Not Hispanic or Latino","2186-2",4111,8654445,47.5
,"22 years","22","Female","F","Not Hispanic or Latino","2186-2",4068,8485729,47.9
,"23 years","23","Female","F","Not Hispanic or Latino","2186-2",4278,8383544,51.0
,"24 years","24","Female","F","Not Hispanic or Latino","2186-2",4407,8369757,52.7
,"25 years","25","Female","F","Not Hispanic or Latino","2186-2",4630,8450983,54.8
,"26 years","26","Female","F","Not Hispanic or Latino","2186-2",4962,8460599,58.6
,"27 years","27","Female","F","Not Hispanic or Latino","2186-2",4918,8535644,57.6
,"28 years","28","Female","F","Not Hispanic or Latino","2186-2",5395,8426287,64.0
,"29 years","29","Female","F","Not Hispanic or Latino","2186-2",5678,8201633,69.2
,"30 years","30","Female","F","Not Hispanic or Latino","2186-2",5876,8158409,72.0
,"31 years","31","Female","F","Not Hispanic or Latino","2186-2",5944,7887732,75.4
,"32 years","32","Female","F","Not Hispanic or Latino","2186-2",6357,7872384,80.8
,"33 years","33","Female","F","Not Hispanic or Latino","2186-2",6427,7765212,82.8
,"34 years","34","Female","F","Not Hispanic or Latino","2186-2",7105,7794149,91.2
,"35 years","35","Female","F","Not Hispanic or Latino","2186-2",7701,7911987,97.3
,"36 years","36","Female","F","Not Hispanic or Latino","2186-2",8490,8186713,103.7
,"37 years","37","Female","F","Not Hispanic or Latino","2186-2",9310,8450476,110.2
,"38 years","38","Female","F","Not Hispanic or Latino","2186-2",10441,8655791,120.6
,"39 years","39","Female","F","Not Hispanic or Latino","2186-2",11398,8798985,129.5
,"40 years","40","Female","F","Not Hispanic or Latino","2186-2",12687,8810687,144.0
,"41 years","41","Female","F","Not Hispanic or Latino","2186-2",13650,8816376,154.8
,"42 years","42","Female","F","Not Hispanic or Latino","2186-2",15197,8917964,170.4
,"43 years","43","Female","F","Not Hispanic or Latino","2186-2",17124,9187625,186.4
,"44 years","44","Female","F","Not Hispanic or Latino","2186-2",19577,9427066,207.7
,"45 years","45","Female","F","Not Hispanic or Latino","2186-2",21614,9686045,223.1
,"46 years","46","Female","F","Not Hispanic or Latino","2186-2",24698,9943320,248.4
