"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code",Deaths,Population,Crude Rate
,"< 1 year","0","Male","M","Not Hispanic or Latino","2186-2",352,60432,582.5
,"1 year","1","Male","M","Not Hispanic or Latino","2186-2",24,57934,41.4
,"2 years","2","Male","M","Not Hispanic or Latino","2186-2",14,55675,Unreliable
,"3 years","3","Male","M","Not Hispanic or Latino","2186-2",Suppressed,55815,Suppressed
,"4 years","4","Male","M","Not Hispanic or Latino","2186-2",Suppressed,55316,Suppressed
,"5 years","5","Male","M","Not Hispanic or Latino","2186-2",Suppressed,55514,Suppressed
,"6 years","6","Male","M","Not Hispanic or Latino","2186-2",Suppressed,55758,Suppressed
,"7 years","7","Male","M","Not Hispanic or Latino","2186-2",Suppressed,57592,Suppressed
,"8 years","8","Male","M","Not Hispanic or Latino","2186-2",Suppressed,58784,Suppressed
,"9 years","9","Male","M","Not Hispanic or Latino","2186-2",Suppressed,60338,Suppressed
,"10 years","10","Male","M","Not Hispanic or Latino","2186-2",Suppressed,62777,Suppressed
,"11 years","11","Male","M","Not Hispanic or Latino","2186-2",10,63324,Unreliable
,"12 years","12","Male","M","Not Hispanic or Latino","2186-2",Suppressed,64434,Suppressed
,"13 years","13","Male","M","Not Hispanic or Latino","2186-2",Suppressed,65114,Suppressed
,"14 years","14","Male","M","Not Hispanic or Latino","2186-2",16,65242,Unreliable
,"15 years","15","Male","M","Not Hispanic or Latino","2186-2",22,65740,33.5
,"16 years","16","Male","M","Not Hispanic or Latino","2186-2",26,64732,40.2
,"17 years","17","Male","M","Not Hispanic or Latino","2186-2",46,64355,71.5
,"18 years","18","Male","M","Not Hispanic or Latino","2186-2",50,70757,70.7
,"19 years","19","Male","M","Not Hispanic or Latino","2186-2",69,84499,81.7
,"20 years","20","Male","M","Not Hispanic or Latino","2186-2",84,92145,91.2
,"21 years","21","Male","M","Not Hispanic or Latino","2186-2",90,95881,93.9
,"22 years","22","Male","M","Not Hispanic or Latino","2186-2",97,94638,102.5
,"23 years","23","Male","M","Not Hispanic or Latino","2186-2",104,88598,117.4
,"24 years","24","Male","M","Not Hispanic or Latino","2186-2",77,85285,90.3
,"25 years","25","Male","M","Not Hispanic or Latino","2186-2",53,85542,62.0
,"26 years","26","Male","M","Not Hispanic or Latino","2186-2",77,81627,94.3
,"27 years","27","Male","M","Not Hispanic or Latino","2186-2",73,79813,91.5
,"28 years","28","Male","M","Not Hispanic or Latino","2186-2",47,77727,60.5
,"29 years","29","Male","M","Not Hispanic or Latino","2186-2",73,74584,97.9
,"30 years","30","Male","M","Not Hispanic or Latino","2186-2",76,76116,99.8
,"31 years","31","Male","M","Not Hispanic or Latino","2186-2",68,75695,89.8
,"32 years","32","Male","M","Not Hispanic or Latino","2186-2",92,78216,117.6
,"33 years","33","Male","M","Not Hispanic or Latino","2186-2",87,78372,111.0
,"34 years","34","Male","M","Not Hispanic or Latino","2186-2",111,78303,141.8
,"35 years","35","Male","M","Not Hispanic or Latino","2186-2",101,78559,128.6
,"36 years","36","Male","M","Not Hispanic or Latino","2186-2",111,77551,143.1
,"37 years","37","Male","M","Not Hispanic or Latino","2186-2",120,77499,154.8
,"38 years","38","Male","M","Not Hispanic or Latino","2186-2",121,78524,154.1
,"39 years","39","Male","M","Not Hispanic or Latino","2186-2",157,80698,194.6
,"40 years","40","Male","M","Not Hispanic or Latino","2186-2",179,83018,215.6
,"41 years","41","Male","M","Not Hispanic or Latino","2186-2",179,84871,210.9
,"42 years","42","Male","M","Not Hispanic or Latino","2186-2",213,86702,245.7
,"43 years","43","Male","M","Not Hispanic or Latino","2186-2",220,86680,253.8
,"44 years","44","Male","M","Not Hispanic or Latino","2186-2",263,85976,305.9
,"45 years","45","Male","M","Not Hispanic or Latino","2186-2",264,86044,306.8
,"46 years","46","Male","M","Not Hispanic or Latino","2186-2",267,85719,311.5
,"47 years","47","Male","M","Not Hispanic or Latino","2186-2",310,84034,368.9
,"48 years","48","Male","M","Not Hispanic or Latino","2186-2",338,82692,408.7
,"49 years","49","Male","M","Not Hispanic or Latino","2186-2",331,80582,410.8
,"50 years","50","Male","M","Not Hispanic or Latino","2186-2",389,77718,500.5
,"51 years","51","Male","M","Not Hispanic or Latino","2186-2",379,76064,498.3
,"52 years","52","Male","M","Not Hispanic or Latino","2186-2",448,73789,607.1
,"53 years","53","Male","M","Not Hispanic or Latino","2186-2",439,71705,612.2
,"54 years","54","Male","M","Not Hispanic or Latino","2186-2",434,70286,617.5
,"55 years","55","Male","M","Not Hispanic or Latino","2186-2",486,68986,704.5
,"56 years","56","Male","M","Not Hispanic or Latino","2186-2",461,66125,697.2
,"57 years","57","Male","M","Not Hispanic or Latino","2186-2",469,61425,763.5
,"58 years","58","Male","M","Not Hispanic or Latino","2186-2",508,57275,886.9
,"59 years","59","Male","M","Not Hispanic or Latino","2186-2",511,53947,947.2
,"60 years","60","Male","M","Not Hispanic or Latino","2186-2",522,48332,1080.0
,"61 years","61","Male","M","Not Hispanic or Latino","2186-2",527,45672,1153.9
,"62 years","62","Male","M","Not Hispanic or Latino","2186-2",483,42781,1129.0
,"63 years","63","Male","M","Not Hispanic or Latino","2186-2",484,40025,1209.2
,"64 years","64","Male","M","Not Hispanic or Latino","2186-2",532,37697,1411.3
,"65 years","65","Male","M","Not Hispanic or Latino","2186-2",520,35730,1455.4
,"66 years","66","Male","M","Not Hispanic or Latino","2186-2",542,34458,1572.9
,"67 years","67","Male","M","Not Hispanic or Latino","2186-2",623,33052,1884.9
,"68 years","68","Male","M","Not Hispanic or Latino","2186-2",605,31875,1898.0
,"69 years","69","Male","M","Not Hispanic or Latino","2186-2",681,30901,2203.8
,"70 years","70","Male","M","Not Hispanic or Latino","2186-2",669,29719,2251.1
,"71 years","71","Male","M","Not Hispanic or Latino","2186-2",789,29746,2652.5
,"72 years","72","Male","M","Not Hispanic or Latino","2186-2",755,29117,2593.0
,"73 years","73","Male","M","Not Hispanic or Latino","2186-2",878,28779,3050.8
,"74 years","74","Male","M","Not Hispanic or Latino","2186-2",966,28063,3442.3
,"75 years","75","Male","M","Not Hispanic or Latino","2186-2",1017,27031,3762.3
,"76 years","76","Male","M","Not Hispanic or Latino","2186-2",1109,26126,4244.8
,"77 years","77","Male","M","Not Hispanic or Latino","2186-2",1145,24839,4609.7
,"78 years","78","Male","M","Not Hispanic or Latino","2186-2",1161,24327,4772.5
,"79 years","79","Male","M","Not Hispanic or Latino","2186-2",1229,23317,5270.8
,"80 years","80","Male","M","Not Hispanic or Latino","2186-2",1376,22785,6039.1
,"81 years","81","Male","M","Not Hispanic or Latino","2186-2",1480,21431,6905.9
,"82 years","82","Male","M","Not Hispanic or Latino","2186-2",1466,19871,7377.6
,"83 years","83","Male","M","Not Hispanic or Latino","2186-2",1518,18071,8400.2
,"84 years","84","Male","M","Not Hispanic or Latino","2186-2",1512,15933,9489.7
,"85 years","85","Male","M","Not Hispanic or Latino","2186-2",1379,Not Applicable,Not Applicable
,"86 years","86","Male","M","Not Hispanic or Latino","2186-2",1374,Not Applicable,Not Applicable
,"87 years","87","Male","M","Not Hispanic or Latino","2186-2",1297,Not Applicable,Not Applicable
,"88 years","88","Male","M","Not Hispanic or Latino","2186-2",1077,Not Applicable,Not Applicable
,"89 years","89","Male","M","Not Hispanic or Latino","2186-2",1040,Not Applicable,Not Applicable
,"90 years","90","Male","M","Not Hispanic or Latino","2186-2",931,Not Applicable,Not Applicable
,"91 years","91","Male","M","Not Hispanic or Latino","2186-2",746,Not Applicable,Not Applicable
,"92 years","92","Male","M","Not Hispanic or Latino","2186-2",662,Not Applicable,Not Applicable
,"93 years","93","Male","M","Not Hispanic or Latino","2186-2",543,Not Applicable,Not Applicable
,"94 years","94","Male","M","Not Hispanic or Latino","2186-2",415,Not Applicable,Not Applicable
,"95 years","95","Male","M","Not Hispanic or Latino","2186-2",287,Not Applicable,Not Applicable
