"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code",Deaths,Population,Crude Rate
,"< 1 year","0","Female","F","Not Hispanic or Latino","2186-2",38284,7053736,542.7
,"1 year","1","Female","F","Not Hispanic or Latino","2186-2",2583,7107560,36.3
,"2 years","2","Female","F","Not Hispanic or Latino","2186-2",1733,7192550,24.1
,"3 years","3","Female","F","Not Hispanic or Latino","2186-2",1209,7234599,16.7
,"4 years","4","Female","F","Not Hispanic or Latino","2186-2",1054,7256903,14.5
,"5 years","5","Female","F","Not Hispanic or Latino","2186-2",887,7265868,12.2
,"6 years","6","Female","F","Not Hispanic or Latino","2186-2",851,7285868,11.7
,"7 years","7","Female","F","Not Hispanic or Latino","2186-2",785,7355041,10.7
,"8 years","8","Female","F","Not Hispanic or Latino","2186-2",805,7431492,10.8
,"9 years","9","Female","F","Not Hispanic or Latino","2186-2",783,7492101,10.5
,"10 years","10","Female","F","Not Hispanic or Latino","2186-2",730,7552110,9.7
,"11 years","11","Female","F","Not Hispanic or Latino","2186-2",849,7619329,11.1
,"12 years","12","Female","F","Not Hispanic or Latino","2186-2",927,7634919,12.1
,"13 years","13","Female","F","Not Hispanic or Latino","2186-2",1130,7643553,14.8
,"14 years","14","Female","F","Not Hispanic or Latino","2186-2",1370,7703740,17.8
,"15 years","15","Female","F","Not Hispanic or Latino","2186-2",1547,7788836,19.9
,"16 years","16","Female","F","Not Hispanic or Latino","2186-2",1980,7844594,25.2
,"17 years","17","Female","F","Not Hispanic or Latino","2186-2",2266,7920857,28.6
,"18 years","18","Female","F","Not Hispanic or Latino","2186-2",3047,8017387,38.0
,"19 years","19","Female","F","Not Hispanic or Latino","2186-2",3268,8080051,40.4
,"20 years","20","Female","F","Not Hispanic or Latino","2186-2",3659,8145320,44.9
,"21 years","21","Female","F","Not Hispanic or Latino","2186-2",4105,8267811,49.7
,"22 years","22","Female","F","Not Hispanic or Latino","2186-2",4365,8415725,51.9
,"23 years","23","Female","F","Not Hispanic or Latino","2186-2",4859,8611434,56.4
,"24 years","24","Female","F","Not Hispanic or Latino","2186-2",5117,8851380,57.8
,"25 years","25","Female","F","Not Hispanic or Latino","2186-2",5692,9058873,62.8
,"26 years","26","Female","F","Not Hispanic or Latino","2186-2",6074,9158753,66.3
,"27 years","27","Female","F","Not Hispanic or Latino","2186-2",6608,9182086,72.0
,"28 years","28","Female","F","Not Hispanic or Latino","2186-2",7024,9110415,77.1
,"29 years","29","Female","F","Not Hispanic or Latino","2186-2",7210,8984925,80.2
,"30 years","30","Female","F","Not Hispanic or Latino","2186-2",7752,8868334,87.4
,"31 years","31","Female","F","Not Hispanic or Latino","2186-2",8114,8762245,92.6
,"32 years","32","Female","F","Not Hispanic or Latino","2186-2",8701,8726730,99.7
,"33 years","33","Female","F","Not Hispanic or Latino","2186-2",9266,8724293,106.2
,"34 years","34","Female","F","Not Hispanic or Latino","2186-2",9474,8697940,108.9
,"35 years","35","Female","F","Not Hispanic or Latino","2186-2",10096,8676738,116.4
,"36 years","36","Female","F","Not Hispanic or Latino","2186-2",10706,8609742,124.3
,"37 years","37","Female","F","Not Hispanic or Latino","2186-2",11020,8478856,130.0
,"38 years","38","Female","F","Not Hispanic or Latino","2186-2",11505,8334425,138.0
,"39 years","39","Female","F","Not Hispanic or Latino","2186-2",11959,8153625,146.7
,"40 years","40","Female","F","Not Hispanic or Latino","2186-2",12277,8001473,153.4
,"41 years","41","Female","F","Not Hispanic or Latino","2186-2",12858,7906419,162.6
,"42 years","42","Female","F","Not Hispanic or Latino","2186-2",13948,7887570,176.8
,"43 years","43","Female","F","Not Hispanic or Latino","2186-2",15117,7972679,189.6
,"44 years","44","Female","F","Not Hispanic or Latino","2186-2",16553,8231597,201.1
,"45 years","45","Female","F","Not Hispanic or Latino","2186-2",18560,8460842,219.4
,"46 years","46","Female","F","Not Hispanic or Latino","2186-2",20695,8642673,239.5
,"47 years","47","Female","F","Not Hispanic or Latino","2186-2",22238,8753064,254.1
,"48 years","48","Female","F","Not Hispanic or Latino","2186-2",24499,8794182,278.6
,"49 years","49","Female","F","Not Hispanic or Latino","2186-2",26496,8757218,302.6
,"50 years","50","Female","F","Not Hispanic or Latino","2186-2",29407,8820274,333.4
,"51 years","51","Female","F","Not Hispanic or Latino","2186-2",32570,9028324,360.8
,"52 years","52","Female","F","Not Hispanic or Latino","2186-2",36481,9283231,393.0
,"53 years","53","Female","F","Not Hispanic or Latino","2186-2",40621,9527146,426.4
,"54 years","54","Female","F","Not Hispanic or Latino","2186-2",45127,9772250,461.8
,"55 years","55","Female","F","Not Hispanic or Latino","2186-2",49445,9908882,499.0
,"56 years","56","Female","F","Not Hispanic or Latino","2186-2",53893,9938789,542.2
,"57 years","57","Female","F","Not Hispanic or Latino","2186-2",58154,9955942,584.1
,"58 years","58","Female","F","Not Hispanic or Latino","2186-2",61948,9952196,622.5
,"59 years","59","Female","F","Not Hispanic or Latino","2186-2",65549,9843308,665.9
,"60 years","60","Female","F","Not Hispanic or Latino","2186-2",69420,9709359,715.0
,"61 years","61","Female","F","Not Hispanic or Latino","2186-2",72678,9560715,760.2
,"62 years","62","Female","F","Not Hispanic or Latino","2186-2",76274,9348571,815.9
,"63 years","63","Female","F","Not Hispanic or Latino","2186-2",79590,9085553,876.0
,"64 years","64","Female","F","Not Hispanic or Latino","2186-2",82389,8838431,932.2
,"65 years","65","Female","F","Not Hispanic or Latino","2186-2",85478,8560783,998.5
,"66 years","66","Female","F","Not Hispanic or Latino","2186-2",89046,8305802,1072.1
,"67 years","67","Female","F","Not Hispanic or Latino","2186-2",94270,8097962,1164.1
,"68 years","68","Female","F","Not Hispanic or Latino","2186-2",100866,8027727,1256.5
,"69 years","69","Female","F","Not Hispanic or Latino","2186-2",104485,7548162,1384.2
,"70 years","70","Female","F","Not Hispanic or Latino","2186-2",108190,7103855,1523.0
,"71 years","71","Female","F","Not Hispanic or Latino","2186-2",111929,6679374,1675.7
,"72 years","72","Female","F","Not Hispanic or Latino","2186-2",116965,6309010,1853.9
,"73 years","73","Female","F","Not Hispanic or Latino","2186-2",117505,5714990,2056.1
,"74 years","74","Female","F","Not Hispanic or Latino","2186-2",122376,5457307,2242.4
,"75 years","75","Female","F","Not Hispanic or Latino","2186-2",128061,5154544,2484.4
,"76 years","76","Female","F","Not Hispanic or Latino","2186-2",131151,4822444,2719.6
,"77 years","77","Female","F","Not Hispanic or Latino","2186-2",133792,4433601,3017.7
,"78 years","78","Female","F","Not Hispanic or Latino","2186-2",137909,4129046,3340.0
,"79 years","79","Female","F","Not Hispanic or Latino","2186-2",144269,3876879,3721.3
,"80 years","80","Female","F","Not Hispanic or Latino","2186-2",151947,3650063,4162.9
,"81 years","81","Female","F","Not Hispanic or Latino","2186-2",157475,3405634,4624.0
,"82 years","82","Female","F","Not Hispanic or Latino","2186-2",165789,3177964,5216.8
,"83 years","83","Female","F","Not Hispanic or Latino","2186-2",173500,2982264,5817.7
,"84 years","84","Female","F","Not Hispanic or Latino","2186-2",181143,2791165,6489.9
,"85 years","85","Female","F","Not Hispanic or Latino","2186-2",189548,Not Applicable,Not Applicable
,"86 years","86","Female","F","Not Hispanic or Latino","2186-2",197317,Not Applicable,Not Applicable
,"87 years","87","Female","F","Not Hispanic or Latino","2186-2",205481,Not Applicable,Not Applicable
,"88 years","88","Female","F","Not Hispanic or Latino","2186-2",210286,Not Applicable,Not Applicable
,"89 years","89","Female","F","Not Hispanic or Latino","2186-2",211759,Not Applicable,Not Applicable
,"90 years","90","Female","F","Not Hispanic or Latino","2186-2",211176,Not Applicable,Not Applicable
,"91 years","91","Female","F","Not Hispanic or Latino","2186-2",205471,Not Applicable,Not Applicable
,"92 years","92","Female","F","Not Hispanic or Latino","2186-2",193643,Not Applicable,Not Applicable
,"93 years","93","Female","F","Not Hispanic or Latino","2186-2",178513,Not Applicable,Not Applicable
,"94 years","94","Female","F","Not Hispanic or Latino","2186-2",160785,Not Applicable,Not Applicable
,"95 years","95","Female","F","Not Hispanic or Latino","2186-2",139346,Not Applicable,Not Applicable
,"96 years","96","Female","F","Not Hispanic or Latino","2186-2",115270,Not Applicable,Not Applicable
,"97 years","97","Female","F","Not Hispanic or Latino","2186-2",93128,Not Applicable,Not Applicable
,"98 years","98","Female","F","Not Hispanic or Latino","2186-2",71720,Not Applicable,Not Applicable
,"99 years","99","Female","F","Not Hispanic or Latino","2186-2",52685,Not Applicable,Not Applicable
,"100+ years","100","Female","F","Not Hispanic or Latino","2186-2",113013,Not Applicable,Not Applicable
,"Not Stated","NS","Female","F","Not Hispanic or Latino","2186-2",108,Not Applicable,Not Applicable
"---"
