"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code",Deaths,Population,Crude Rate
,"< 1 year","0","Male","M","Not Hispanic or Latino","2186-2",3275,595659,549.8
,"1 year","1","Male","M","Not Hispanic or Latino","2186-2",246,603089,40.8
,"2 years","2","Male","M","Not Hispanic or Latino","2186-2",143,604134,23.7
,"3 years","3","Male","M","Not Hispanic or Latino","2186-2",95,605986,15.7
,"4 years","4","Male","M","Not Hispanic or Latino","2186-2",88,613775,14.3
,"5 years","5","Male","M","Not Hispanic or Latino","2186-2",76,619823,12.3
,"6 years","6","Male","M","Not Hispanic or Latino","2186-2",67,617905,10.8
,"7 years","7","Male","M","Not Hispanic or Latino","2186-2",67,615917,10.9
,"8 years","8","Male","M","Not Hispanic or Latino","2186-2",63,621822,10.1
,"9 years","9","Male","M","Not Hispanic or Latino","2186-2",57,621266,9.2
,"10 years","10","Male","M","Not Hispanic or Latino","2186-2",63,633624,9.9
,"11 years","11","Male","M","Not Hispanic or Latino","2186-2",72,635966,11.3
,"12 years","12","Male","M","Not Hispanic or Latino","2186-2",80,650823,12.3
,"13 years","13","Male","M","Not Hispanic or Latino","2186-2",90,662890,13.6
,"14 years","14","Male","M","Not Hispanic or Latino","2186-2",130,676309,19.2
,"15 years","15","Male","M","Not Hispanic or Latino","2186-2",183,695027,26.3
,"16 years","16","Male","M","Not Hispanic or Latino","2186-2",247,713303,34.6
,"17 years","17","Male","M","Not Hispanic or Latino","2186-2",366,734602,49.8
,"18 years","18","Male","M","Not Hispanic or Latino","2186-2",590,756075,78.0
,"19 years","19","Male","M","Not Hispanic or Latino","2186-2",700,759310,92.2
,"20 years","20","Male","M","Not Hispanic or Latino","2186-2",815,788880,103.3
,"21 years","21","Male","M","Not Hispanic or Latino","2186-2",862,810897,106.3
,"22 years","22","Male","M","Not Hispanic or Latino","2186-2",830,824175,100.7
,"23 years","23","Male","M","Not Hispanic or Latino","2186-2",879,828358,106.1
,"24 years","24","Male","M","Not Hispanic or Latino","2186-2",893,822022,108.6
,"25 years","25","Male","M","Not Hispanic or Latino","2186-2",884,823331,107.4
,"26 years","26","Male","M","Not Hispanic or Latino","2186-2",826,813701,101.5
,"27 years","27","Male","M","Not Hispanic or Latino","2186-2",866,813827,106.4
,"28 years","28","Male","M","Not Hispanic or Latino","2186-2",864,815092,106.0
,"29 years","29","Male","M","Not Hispanic or Latino","2186-2",904,800943,112.9
,"30 years","30","Male","M","Not Hispanic or Latino","2186-2",946,802982,117.8
,"31 years","31","Male","M","Not Hispanic or Latino","2186-2",924,773348,119.5
,"32 years","32","Male","M","Not Hispanic or Latino","2186-2",929,761658,122.0
,"33 years","33","Male","M","Not Hispanic or Latino","2186-2",918,742495,123.6
,"34 years","34","Male","M","Not Hispanic or Latino","2186-2",929,728497,127.5
,"35 years","35","Male","M","Not Hispanic or Latino","2186-2",992,726569,136.5
,"36 years","36","Male","M","Not Hispanic or Latino","2186-2",943,720351,130.9
,"37 years","37","Male","M","Not Hispanic or Latino","2186-2",1044,729532,143.1
,"38 years","38","Male","M","Not Hispanic or Latino","2186-2",1210,749861,161.4
,"39 years","39","Male","M","Not Hispanic or Latino","2186-2",1231,779817,157.9
,"40 years","40","Male","M","Not Hispanic or Latino","2186-2",1403,796534,176.1
,"41 years","41","Male","M","Not Hispanic or Latino","2186-2",1631,806127,202.3
,"42 years","42","Male","M","Not Hispanic or Latino","2186-2",1790,810219,220.9
,"43 years","43","Male","M","Not Hispanic or Latino","2186-2",1916,809430,236.7
,"44 years","44","Male","M","Not Hispanic or Latino","2186-2",2086,815921,255.7
,"45 years","45","Male","M","Not Hispanic or Latino","2186-2",2309,830703,278.0
,"46 years","46","Male","M","Not Hispanic or Latino","2186-2",2686,854285,314.4
,"47 years","47","Male","M","Not Hispanic or Latino","2186-2",3037,882467,344.1
,"48 years","48","Male","M","Not Hispanic or Latino","2186-2",3358,903839,371.5
,"49 years","49","Male","M","Not Hispanic or Latino","2186-2",3893,928525,419.3
,"50 years","50","Male","M","Not Hispanic or Latino","2186-2",4050,925380,437.7
,"51 years","51","Male","M","Not Hispanic or Latino","2186-2",4481,928637,482.5
,"52 years","52","Male","M","Not Hispanic or Latino","2186-2",4944,928294,532.6
,"53 years","53","Male","M","Not Hispanic or Latino","2186-2",5324,914993,581.9
,"54 years","54","Male","M","Not Hispanic or Latino","2186-2",5639,906583,622.0
,"55 years","55","Male","M","Not Hispanic or Latino","2186-2",6143,888339,691.5
,"56 years","56","Male","M","Not Hispanic or Latino","2186-2",6366,866054,735.1
,"57 years","57","Male","M","Not Hispanic or Latino","2186-2",6785,840209,807.5
,"58 years","58","Male","M","Not Hispanic or Latino","2186-2",7101,813198,873.2
,"59 years","59","Male","M","Not Hispanic or Latino","2186-2",7552,792508,952.9
,"60 years","60","Male","M","Not Hispanic or Latino","2186-2",7680,764155,1005.0
,"61 years","61","Male","M","Not Hispanic or Latino","2186-2",7854,745288,1053.8
,"62 years","62","Male","M","Not Hispanic or Latino","2186-2",8380,745140,1124.6
,"63 years","63","Male","M","Not Hispanic or Latino","2186-2",8511,690960,1231.8
,"64 years","64","Male","M","Not Hispanic or Latino","2186-2",8521,655857,1299.2
,"65 years","65","Male","M","Not Hispanic or Latino","2186-2",8260,617327,1338.0
,"66 years","66","Male","M","Not Hispanic or Latino","2186-2",8636,579664,1489.8
,"67 years","67","Male","M","Not Hispanic or Latino","2186-2",8280,518442,1597.1
,"68 years","68","Male","M","Not Hispanic or Latino","2186-2",8609,488980,1760.6
,"69 years","69","Male","M","Not Hispanic or Latino","2186-2",8589,463244,1854.1
,"70 years","70","Male","M","Not Hispanic or Latino","2186-2",8799,432610,2033.9
,"71 years","71","Male","M","Not Hispanic or Latino","2186-2",8858,402698,2199.7
,"72 years","72","Male","M","Not Hispanic or Latino","2186-2",9176,376480,2437.3
,"73 years","73","Male","M","Not Hispanic or Latino","2186-2",9291,356357,2607.2
,"74 years","74","Male","M","Not Hispanic or Latino","2186-2",9781,338675,2888.0
,"75 years","75","Male","M","Not Hispanic or Latino","2186-2",10239,315452,3245.8
,"76 years","76","Male","M","Not Hispanic or Latino","2186-2",10487,298779,3510.0
,"77 years","77","Male","M","Not Hispanic or Latino","2186-2",11078,283284,3910.6
,"78 years","78","Male","M","Not Hispanic or Latino","2186-2",11449,270078,4239.1
,"79 years","79","Male","M","Not Hispanic or Latino","2186-2",11970,258047,4638.7
,"80 years","80","Male","M","Not Hispanic or Latino","2186-2",12877,241173,5339.3
,"81 years","81","Male","M","Not Hispanic or Latino","2186-2",13336,227507,5861.8
,"82 years","82","Male","M","Not Hispanic or Latino","2186-2",13875,211440,6562.1
,"83 years","83","Male","M","Not Hispanic or Latino","2186-2",14029,194069,7228.9
,"84 years","84","Male","M","Not Hispanic or Latino","2186-2",14501,177116,8187.3
,"85 years","85","Male","M","Not Hispanic or Latino","2186-2",15019,Not Applicable,Not Applicable
,"86 years","86","Male","M","Not Hispanic or Latino","2186-2",14709,Not Applicable,Not Applicable
,"87 years","87","Male","M","Not Hispanic or Latino","2186-2",14700,Not Applicable,Not Applicable
,"88 years","88","Male","M","Not Hispanic or Latino","2186-2",14302,Not Applicable,Not Applicable
,"89 years","89","Male","M","Not Hispanic or Latino","2186-2",13702,Not Applicable,Not Applicable
,"90 years","90","Male","M","Not Hispanic or Latino","2186-2",12436,Not Applicable,Not Applicable
,"91 years","91","Male","M","Not Hispanic or Latino","2186-2",10975,Not Applicable,Not Applicable
,"92 years","92","Male","M","Not Hispanic or Latino","2186-2",9391,Not Applicable,Not Applicable
,"93 years","93","Male","M","Not Hispanic or Latino","2186-2",7839,Not Applicable,Not Applicable
,"94 years","94","Male","M","Not Hispanic or Latino","2186-2",6391,Not Applicable,Not Applicable
,"95 years","95","Male","M","Not Hispanic or Latino","2186-2",4901,Not Applicable,Not Applicable
,"96 years","96","Male","M","Not Hispanic or Latino","2186-2",3849,Not Applicable,Not Applicable
,"97 years","97","Male","M","Not Hispanic or Latino","2186-2",2794,Not Applicable,Not Applicable
,"98 years","98","Male","M","Not Hispanic or Latino","2186-2",1927,Not Applicable,Not Applicable
,"99 years","99","Male","M","Not Hispanic or Latino","2186-2",1306,Not Applicable,Not Applicable
,"100+ years","100","Male","M","Not Hispanic or Latino","2186-2",2124,Not Applicable,Not Applicable
,"Not Stated","NS","Male","M","Not Hispanic or Latino","2186-2",38,Not Applicable,Not Applicable
"---"
"Dataset: Underlying Cause of Death, 1999-2020"
"Query Parameters:"
"Title: CA; 1999-2020; SYA; M; NON; ALL; 2013; 5Y"
"Hispanic Origin: Not Hispanic or Latino"
"Sex: Male"
"States: California (06)"
"Year/Month: 2009; 2010; 2011; 2012; 2013"
"Group By: Single-Year Ages; Sex; Hispanic Origin"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd.html for more information."
"---"
"Query Date: Feb 9, 2026 9:47:22 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"1999-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
