"Notes"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate	Crude Rate Standard Error
	"Female"	"F"	"< 1 year"	"0"	925	278950	331.6	10.9
	"Female"	"F"	"1 year"	"1"	64	277824	23.0	2.9
	"Female"	"F"	"2 years"	"2"	48	282778	17.0	2.5
	"Female"	"F"	"3 years"	"3"	30	284933	10.5	1.9
	"Female"	"F"	"4 years"	"4"	22	285972	7.7	1.6
	"Female"	"F"	"5 years"	"5"	19	283566	Unreliable	1.5
	"Female"	"F"	"6 years"	"6"	27	279473	9.7	1.9
	"Female"	"F"	"7 years"	"7"	17	275655	Unreliable	1.5
	"Female"	"F"	"8 years"	"8"	26	275836	9.4	1.8
	"Female"	"F"	"9 years"	"9"	15	275879	Unreliable	1.4
	"Female"	"F"	"10 years"	"10"	12	273944	Unreliable	1.3
	"Female"	"F"	"11 years"	"11"	16	268709	Unreliable	1.5
	"Female"	"F"	"12 years"	"12"	17	262325	Unreliable	1.6
	"Female"	"F"	"13 years"	"13"	30	253343	11.8	2.2
	"Female"	"F"	"14 years"	"14"	24	244458	9.8	2.0
	"Female"	"F"	"15 years"	"15"	36	236159	15.2	2.5
	"Female"	"F"	"16 years"	"16"	33	227917	14.5	2.5
	"Female"	"F"	"17 years"	"17"	41	221547	18.5	2.9
	"Female"	"F"	"18 years"	"18"	68	218289	31.2	3.8
	"Female"	"F"	"19 years"	"19"	57	214803	26.5	3.5
	"Female"	"F"	"20 years"	"20"	72	210173	34.3	4.0
	"Female"	"F"	"21 years"	"21"	73	204258	35.7	4.2
	"Female"	"F"	"22 years"	"22"	72	198948	36.2	4.3
	"Female"	"F"	"23 years"	"23"	76	194151	39.1	4.5
	"Female"	"F"	"24 years"	"24"	53	190467	27.8	3.8
	"Female"	"F"	"25 years"	"25"	76	186083	40.8	4.7
	"Female"	"F"	"26 years"	"26"	81	182249	44.4	4.9
	"Female"	"F"	"27 years"	"27"	102	177357	57.5	5.7
	"Female"	"F"	"28 years"	"28"	97	171818	56.5	5.7
	"Female"	"F"	"29 years"	"29"	91	163221	55.8	5.8
	"Female"	"F"	"30 years"	"30"	88	153182	57.4	6.1
	"Female"	"F"	"31 years"	"31"	82	144224	56.9	6.3
	"Female"	"F"	"32 years"	"32"	66	136863	48.2	5.9
	"Female"	"F"	"33 years"	"33"	101	131935	76.6	7.6
	"Female"	"F"	"34 years"	"34"	80	127129	62.9	7.0
	"Female"	"F"	"35 years"	"35"	91	124492	73.1	7.7
	"Female"	"F"	"36 years"	"36"	95	121684	78.1	8.0
	"Female"	"F"	"37 years"	"37"	105	119709	87.7	8.6
