"Notes"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate	Crude Rate Standard Error
	"Female"	"F"	"< 1 year"	"0"	299	92305	323.9	18.7
	"Female"	"F"	"1 year"	"1"	22	92322	23.8	5.1
	"Female"	"F"	"2 years"	"2"	15	93729	Unreliable	4.1
	"Female"	"F"	"3 years"	"3"	Suppressed	94342	Suppressed	Suppressed
	"Female"	"F"	"4 years"	"4"	Suppressed	93270	Suppressed	Suppressed
	"Female"	"F"	"5 years"	"5"	Suppressed	91893	Suppressed	Suppressed
	"Female"	"F"	"6 years"	"6"	Suppressed	90347	Suppressed	Suppressed
	"Female"	"F"	"7 years"	"7"	Suppressed	89593	Suppressed	Suppressed
	"Female"	"F"	"8 years"	"8"	13	92194	Unreliable	3.9
	"Female"	"F"	"9 years"	"9"	Suppressed	90116	Suppressed	Suppressed
	"Female"	"F"	"10 years"	"10"	Suppressed	90503	Suppressed	Suppressed
	"Female"	"F"	"11 years"	"11"	Suppressed	87915	Suppressed	Suppressed
	"Female"	"F"	"12 years"	"12"	Suppressed	83769	Suppressed	Suppressed
	"Female"	"F"	"13 years"	"13"	Suppressed	81518	Suppressed	Suppressed
	"Female"	"F"	"14 years"	"14"	Suppressed	78969	Suppressed	Suppressed
	"Female"	"F"	"15 years"	"15"	11	75429	Unreliable	4.4
	"Female"	"F"	"16 years"	"16"	Suppressed	73136	Suppressed	Suppressed
	"Female"	"F"	"17 years"	"17"	15	72523	Unreliable	5.3
	"Female"	"F"	"18 years"	"18"	16	72071	Unreliable	5.6
	"Female"	"F"	"19 years"	"19"	22	69635	31.6	6.7
	"Female"	"F"	"20 years"	"20"	23	67931	33.9	7.1
	"Female"	"F"	"21 years"	"21"	22	66129	33.3	7.1
	"Female"	"F"	"22 years"	"22"	20	64338	31.1	7.0
	"Female"	"F"	"23 years"	"23"	24	63285	37.9	7.7
	"Female"	"F"	"24 years"	"24"	14	62507	Unreliable	6.0
	"Female"	"F"	"25 years"	"25"	19	59982	Unreliable	7.3
