"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate
,"< 1 year","0","Female","F","Not Hispanic or Latino","2186-2","Asian","A",1363,463575,294.0
,"1 year","1","Female","F","Not Hispanic or Latino","2186-2","Asian","A",87,478538,18.2
,"2 years","2","Female","F","Not Hispanic or Latino","2186-2","Asian","A",74,500075,14.8
,"3 years","3","Female","F","Not Hispanic or Latino","2186-2","Asian","A",63,521980,12.1
,"4 years","4","Female","F","Not Hispanic or Latino","2186-2","Asian","A",51,533920,9.6
,"5 years","5","Female","F","Not Hispanic or Latino","2186-2","Asian","A",45,541237,8.3
,"6 years","6","Female","F","Not Hispanic or Latino","2186-2","Asian","A",44,538504,8.2
,"7 years","7","Female","F","Not Hispanic or Latino","2186-2","Asian","A",41,534490,7.7
,"8 years","8","Female","F","Not Hispanic or Latino","2186-2","Asian","A",33,531867,6.2
,"9 years","9","Female","F","Not Hispanic or Latino","2186-2","Asian","A",32,532180,6.0
,"10 years","10","Female","F","Not Hispanic or Latino","2186-2","Asian","A",41,527468,7.8
,"11 years","11","Female","F","Not Hispanic or Latino","2186-2","Asian","A",34,524533,6.5
,"12 years","12","Female","F","Not Hispanic or Latino","2186-2","Asian","A",41,526410,7.8
,"13 years","13","Female","F","Not Hispanic or Latino","2186-2","Asian","A",40,532692,7.5
,"14 years","14","Female","F","Not Hispanic or Latino","2186-2","Asian","A",65,540194,12.0
,"15 years","15","Female","F","Not Hispanic or Latino","2186-2","Asian","A",69,543684,12.7
,"16 years","16","Female","F","Not Hispanic or Latino","2186-2","Asian","A",88,546032,16.1
,"17 years","17","Female","F","Not Hispanic or Latino","2186-2","Asian","A",90,556336,16.2
,"18 years","18","Female","F","Not Hispanic or Latino","2186-2","Asian","A",100,568626,17.6
,"19 years","19","Female","F","Not Hispanic or Latino","2186-2","Asian","A",116,575603,20.2
,"20 years","20","Female","F","Not Hispanic or Latino","2186-2","Asian","A",121,587033,20.6
,"21 years","21","Female","F","Not Hispanic or Latino","2186-2","Asian","A",158,606490,26.1
,"22 years","22","Female","F","Not Hispanic or Latino","2186-2","Asian","A",153,622576,24.6
,"23 years","23","Female","F","Not Hispanic or Latino","2186-2","Asian","A",161,643639,25.0
,"24 years","24","Female","F","Not Hispanic or Latino","2186-2","Asian","A",181,671883,26.9
,"25 years","25","Female","F","Not Hispanic or Latino","2186-2","Asian","A",182,700210,26.0
,"26 years","26","Female","F","Not Hispanic or Latino","2186-2","Asian","A",156,731958,21.3
,"27 years","27","Female","F","Not Hispanic or Latino","2186-2","Asian","A",192,769108,25.0
,"28 years","28","Female","F","Not Hispanic or Latino","2186-2","Asian","A",193,806041,23.9
,"29 years","29","Female","F","Not Hispanic or Latino","2186-2","Asian","A",232,836561,27.7
,"30 years","30","Female","F","Not Hispanic or Latino","2186-2","Asian","A",248,855634,29.0
,"31 years","31","Female","F","Not Hispanic or Latino","2186-2","Asian","A",221,864338,25.6
,"32 years","32","Female","F","Not Hispanic or Latino","2186-2","Asian","A",260,866747,30.0
,"33 years","33","Female","F","Not Hispanic or Latino","2186-2","Asian","A",323,867891,37.2
,"34 years","34","Female","F","Not Hispanic or Latino","2186-2","Asian","A",273,865333,31.5
,"35 years","35","Female","F","Not Hispanic or Latino","2186-2","Asian","A",289,865863,33.4
,"36 years","36","Female","F","Not Hispanic or Latino","2186-2","Asian","A",361,865740,41.7
,"37 years","37","Female","F","Not Hispanic or Latino","2186-2","Asian","A",325,860582,37.8
,"38 years","38","Female","F","Not Hispanic or Latino","2186-2","Asian","A",386,854910,45.2
