"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate
,"< 1 year","0","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1731,490923,352.6
,"1 year","1","Male","M","Not Hispanic or Latino","2186-2","Asian","A",135,508611,26.5
,"2 years","2","Male","M","Not Hispanic or Latino","2186-2","Asian","A",69,530015,13.0
,"3 years","3","Male","M","Not Hispanic or Latino","2186-2","Asian","A",72,554454,13.0
,"4 years","4","Male","M","Not Hispanic or Latino","2186-2","Asian","A",60,567966,10.6
,"5 years","5","Male","M","Not Hispanic or Latino","2186-2","Asian","A",57,575203,9.9
,"6 years","6","Male","M","Not Hispanic or Latino","2186-2","Asian","A",58,570166,10.2
,"7 years","7","Male","M","Not Hispanic or Latino","2186-2","Asian","A",46,565390,8.1
,"8 years","8","Male","M","Not Hispanic or Latino","2186-2","Asian","A",43,560611,7.7
,"9 years","9","Male","M","Not Hispanic or Latino","2186-2","Asian","A",30,558920,5.4
,"10 years","10","Male","M","Not Hispanic or Latino","2186-2","Asian","A",55,551809,10.0
,"11 years","11","Male","M","Not Hispanic or Latino","2186-2","Asian","A",52,548057,9.5
,"12 years","12","Male","M","Not Hispanic or Latino","2186-2","Asian","A",53,547342,9.7
,"13 years","13","Male","M","Not Hispanic or Latino","2186-2","Asian","A",60,549996,10.9
,"14 years","14","Male","M","Not Hispanic or Latino","2186-2","Asian","A",72,553766,13.0
,"15 years","15","Male","M","Not Hispanic or Latino","2186-2","Asian","A",114,552311,20.6
,"16 years","16","Male","M","Not Hispanic or Latino","2186-2","Asian","A",124,549842,22.6
,"17 years","17","Male","M","Not Hispanic or Latino","2186-2","Asian","A",189,558632,33.8
,"18 years","18","Male","M","Not Hispanic or Latino","2186-2","Asian","A",220,572171,38.5
,"19 years","19","Male","M","Not Hispanic or Latino","2186-2","Asian","A",291,581588,50.0
,"20 years","20","Male","M","Not Hispanic or Latino","2186-2","Asian","A",301,593019,50.8
,"21 years","21","Male","M","Not Hispanic or Latino","2186-2","Asian","A",334,613958,54.4
,"22 years","22","Male","M","Not Hispanic or Latino","2186-2","Asian","A",391,632449,61.8
,"23 years","23","Male","M","Not Hispanic or Latino","2186-2","Asian","A",401,656010,61.1
,"24 years","24","Male","M","Not Hispanic or Latino","2186-2","Asian","A",398,685022,58.1
,"25 years","25","Male","M","Not Hispanic or Latino","2186-2","Asian","A",410,710798,57.7
,"26 years","26","Male","M","Not Hispanic or Latino","2186-2","Asian","A",375,736271,50.9
,"27 years","27","Male","M","Not Hispanic or Latino","2186-2","Asian","A",466,763408,61.0
,"28 years","28","Male","M","Not Hispanic or Latino","2186-2","Asian","A",509,789107,64.5
,"29 years","29","Male","M","Not Hispanic or Latino","2186-2","Asian","A",474,808060,58.7
,"30 years","30","Male","M","Not Hispanic or Latino","2186-2","Asian","A",526,818579,64.3
,"31 years","31","Male","M","Not Hispanic or Latino","2186-2","Asian","A",523,821183,63.7
,"32 years","32","Male","M","Not Hispanic or Latino","2186-2","Asian","A",548,819393,66.9
,"33 years","33","Male","M","Not Hispanic or Latino","2186-2","Asian","A",589,814617,72.3
,"34 years","34","Male","M","Not Hispanic or Latino","2186-2","Asian","A",573,807758,70.9
,"35 years","35","Male","M","Not Hispanic or Latino","2186-2","Asian","A",662,802402,82.5
,"36 years","36","Male","M","Not Hispanic or Latino","2186-2","Asian","A",674,795761,84.7
,"37 years","37","Male","M","Not Hispanic or Latino","2186-2","Asian","A",646,782628,82.5
,"38 years","38","Male","M","Not Hispanic or Latino","2186-2","Asian","A",712,771517,92.3
,"39 years","39","Male","M","Not Hispanic or Latino","2186-2","Asian","A",756,752439,100.5
,"40 years","40","Male","M","Not Hispanic or Latino","2186-2","Asian","A",742,729689,101.7
,"41 years","41","Male","M","Not Hispanic or Latino","2186-2","Asian","A",841,703615,119.5
,"42 years","42","Male","M","Not Hispanic or Latino","2186-2","Asian","A",818,690438,118.5
,"43 years","43","Male","M","Not Hispanic or Latino","2186-2","Asian","A",793,684326,115.9
,"44 years","44","Male","M","Not Hispanic or Latino","2186-2","Asian","A",909,679904,133.7
,"45 years","45","Male","M","Not Hispanic or Latino","2186-2","Asian","A",981,680141,144.2
,"46 years","46","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1135,677805,167.5
,"47 years","47","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1224,673441,181.8
,"48 years","48","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1263,667525,189.2
,"49 years","49","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1436,654977,219.2
,"50 years","50","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1497,637018,235.0
,"51 years","51","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1547,607339,254.7
,"52 years","52","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1708,584322,292.3
,"53 years","53","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1819,566402,321.1
,"54 years","54","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1894,554210,341.7
,"55 years","55","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1997,547966,364.4
,"56 years","56","Male","M","Not Hispanic or Latino","2186-2","Asian","A",2200,538208,408.8
,"57 years","57","Male","M","Not Hispanic or Latino","2186-2","Asian","A",2343,525335,446.0
,"58 years","58","Male","M","Not Hispanic or Latino","2186-2","Asian","A",2551,518236,492.2
,"59 years","59","Male","M","Not Hispanic or Latino","2186-2","Asian","A",2582,503416,512.9
,"60 years","60","Male","M","Not Hispanic or Latino","2186-2","Asian","A",2795,487583,573.2
,"61 years","61","Male","M","Not Hispanic or Latino","2186-2","Asian","A",3143,474245,662.7
,"62 years","62","Male","M","Not Hispanic or Latino","2186-2","Asian","A",3200,465552,687.4
,"63 years","63","Male","M","Not Hispanic or Latino","2186-2","Asian","A",3425,453499,755.2
,"64 years","64","Male","M","Not Hispanic or Latino","2186-2","Asian","A",3626,440766,822.7
,"65 years","65","Male","M","Not Hispanic or Latino","2186-2","Asian","A",3847,423572,908.2
,"66 years","66","Male","M","Not Hispanic or Latino","2186-2","Asian","A",3874,404693,957.3
,"67 years","67","Male","M","Not Hispanic or Latino","2186-2","Asian","A",4008,384984,1041.1
,"68 years","68","Male","M","Not Hispanic or Latino","2186-2","Asian","A",4106,371511,1105.2
,"69 years","69","Male","M","Not Hispanic or Latino","2186-2","Asian","A",4289,356512,1203.0
,"70 years","70","Male","M","Not Hispanic or Latino","2186-2","Asian","A",4494,340328,1320.5
,"71 years","71","Male","M","Not Hispanic or Latino","2186-2","Asian","A",4600,322632,1425.8
,"72 years","72","Male","M","Not Hispanic or Latino","2186-2","Asian","A",4682,302314,1548.7
,"73 years","73","Male","M","Not Hispanic or Latino","2186-2","Asian","A",4777,277817,1719.5
,"74 years","74","Male","M","Not Hispanic or Latino","2186-2","Asian","A",4709,256351,1836.9
,"75 years","75","Male","M","Not Hispanic or Latino","2186-2","Asian","A",4880,233252,2092.2
,"76 years","76","Male","M","Not Hispanic or Latino","2186-2","Asian","A",4937,210343,2347.1
,"77 years","77","Male","M","Not Hispanic or Latino","2186-2","Asian","A",5062,195050,2595.2
,"78 years","78","Male","M","Not Hispanic or Latino","2186-2","Asian","A",5310,181647,2923.3
,"79 years","79","Male","M","Not Hispanic or Latino","2186-2","Asian","A",5315,167679,3169.7
,"80 years","80","Male","M","Not Hispanic or Latino","2186-2","Asian","A",5458,154504,3532.6
,"81 years","81","Male","M","Not Hispanic or Latino","2186-2","Asian","A",5658,140681,4021.9
,"82 years","82","Male","M","Not Hispanic or Latino","2186-2","Asian","A",5718,127821,4473.4
,"83 years","83","Male","M","Not Hispanic or Latino","2186-2","Asian","A",5841,114662,5094.1
,"84 years","84","Male","M","Not Hispanic or Latino","2186-2","Asian","A",5851,101987,5737.0
,"85 years","85","Male","M","Not Hispanic or Latino","2186-2","Asian","A",5719,Not Applicable,Not Applicable
,"86 years","86","Male","M","Not Hispanic or Latino","2186-2","Asian","A",5593,Not Applicable,Not Applicable
,"87 years","87","Male","M","Not Hispanic or Latino","2186-2","Asian","A",5395,Not Applicable,Not Applicable
,"88 years","88","Male","M","Not Hispanic or Latino","2186-2","Asian","A",5159,Not Applicable,Not Applicable
,"89 years","89","Male","M","Not Hispanic or Latino","2186-2","Asian","A",4895,Not Applicable,Not Applicable
,"90 years","90","Male","M","Not Hispanic or Latino","2186-2","Asian","A",4631,Not Applicable,Not Applicable
,"91 years","91","Male","M","Not Hispanic or Latino","2186-2","Asian","A",4230,Not Applicable,Not Applicable
,"92 years","92","Male","M","Not Hispanic or Latino","2186-2","Asian","A",3909,Not Applicable,Not Applicable
,"93 years","93","Male","M","Not Hispanic or Latino","2186-2","Asian","A",3271,Not Applicable,Not Applicable
,"94 years","94","Male","M","Not Hispanic or Latino","2186-2","Asian","A",2861,Not Applicable,Not Applicable
,"95 years","95","Male","M","Not Hispanic or Latino","2186-2","Asian","A",2352,Not Applicable,Not Applicable
,"96 years","96","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1976,Not Applicable,Not Applicable
,"97 years","97","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1601,Not Applicable,Not Applicable
,"98 years","98","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1290,Not Applicable,Not Applicable
,"99 years","99","Male","M","Not Hispanic or Latino","2186-2","Asian","A",906,Not Applicable,Not Applicable
,"100+ years","100","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1747,Not Applicable,Not Applicable
,"Not Stated","NS","Male","M","Not Hispanic or Latino","2186-2","Asian","A",Suppressed,Not Applicable,Not Applicable
"---"
"Dataset: Underlying Cause of Death, 2018-2023, Single Race"
"Query Parameters:"
"Title: US; 2018-2023; SYA; M; NON; ASIAN; 2022; 5Y"
"Hispanic Origin: Not Hispanic or Latino"
"Sex: Male"
"Single Race 6: Asian"
"Year/Month: 2018; 2019; 2020; 2021; 2022"
"Group By: Single-Year Ages; Sex; Hispanic Origin; Single Race 6"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd-expanded.html for more information."
"---"
"Query Date: Feb 10, 2026 4:15:40 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 2018-2023 on CDC WONDER Online Database, released in 2024. Data are from the Multiple Cause of Death Files,"
"2018-2023, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10-expanded.html on Feb 10, 2026 4:15:40 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when they include a subset of ages 85-100+ because populations are not"
"available for those ages. More information: http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Ages 85-100."
"2. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Assurance of Confidentiality."
"3. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Not Stated."
"4. Deaths of persons with Hispanic origin ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among"
"Hispanic Origin groups, so are not included in the Hispanic Origin specific counts and rates. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Not Stated."
"5. Information included on the death certificate about the race and Hispanic ethnicity of the decedent is reported by the"
"funeral director as provided by an informant, often the surviving next of kin, or, in the absence of an informant, on the basis"
"of observation. Race and ethnicity information from the census is by self-report. To the extent that race and Hispanic origin"
"are inconsistent between these two data sources, death rates will be biased. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Racial Differences."
"6. The population figures for years 2023 are single-race estimates of the July 1 resident population, from the Vintage 2023"
"postcensal series released by the Census Bureau on June 27, 2024. The 2023 series is based on the Modified Blended Base produced"
"by the US Census Bureau in lieu of the April 1, 2020 decennial population count. The Modified Blended Base consists of the blend"
"of Vintage 2020 postcensal population estimates for April 1, 2020, 2020 Demographic Analysis Estimates, and 2020 Census data"
"from the internal Census Edited File (CEF). The population figures for years 2022 are single-race estimates of the July 1"
"resident population, from the Vintage 2022 postcensal series released by the Census Bureau on June 22, 2023. The 2022 series is"
"based on the Modified Blended Base produced by the US Census Bureau in lieu of the April 1, 2020 decennial population count. The"
"Modified Blended Base consists of the blend of Vintage 2020 postcensal population estimates for April 1, 2020, 2020 Demographic"
"Analysis Estimates, and 2020 Census data from the internal Census Edited File (CEF). The population figures for years 2021 are"
"single-race estimates of the July 1 resident population, based on the Blended Base produced by the US Census Bureau in lieu of"
"the April 1, 2020 decennial population count, from the Vintage 2021 postcensal series released by the Census Bureau on June 30,"
"2022. The population figures for year 2020 are single-race estimates of the July 1 resident population, from the Vintage 2020"
"postcensal series based on April 2010 Census, released by the Census Bureau on July 27, 2021. The population figures for year"
"2019 are single-race estimates of the July 1 resident population, from the Vintage 2019 postcensal series based on April 2010"
"Census, released by the Census Bureau on June 25, 2020. The population figures for year 2018 are single-race estimates of the"
"July 1 resident population, from the Vintage 2018 postcensal series based on April 2010 Census, released by the Census Bureau on"
"June 20, 2019. More information: http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Population Data."
"7. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Age"
"Group."
"8. Connecticut population estimates for 2022 and later years are reported for 9 planning regions as county equivalent areas,"
