"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code",Deaths,Population,Crude Rate
,"< 1 year","0","Male","M","Not Hispanic or Latino","2186-2",222,59991,370.1
,"1 year","1","Male","M","Not Hispanic or Latino","2186-2",13,59018,Unreliable
,"2 years","2","Male","M","Not Hispanic or Latino","2186-2",Suppressed,59472,Suppressed
,"3 years","3","Male","M","Not Hispanic or Latino","2186-2",Suppressed,58573,Suppressed
,"4 years","4","Male","M","Not Hispanic or Latino","2186-2",Suppressed,57998,Suppressed
,"5 years","5","Male","M","Not Hispanic or Latino","2186-2",Suppressed,56294,Suppressed
,"6 years","6","Male","M","Not Hispanic or Latino","2186-2",Suppressed,55215,Suppressed
,"7 years","7","Male","M","Not Hispanic or Latino","2186-2",Suppressed,54519,Suppressed
,"8 years","8","Male","M","Not Hispanic or Latino","2186-2",Suppressed,54075,Suppressed
,"9 years","9","Male","M","Not Hispanic or Latino","2186-2",Suppressed,53877,Suppressed
,"10 years","10","Male","M","Not Hispanic or Latino","2186-2",Suppressed,54231,Suppressed
,"11 years","11","Male","M","Not Hispanic or Latino","2186-2",Suppressed,54336,Suppressed
,"12 years","12","Male","M","Not Hispanic or Latino","2186-2",Suppressed,54109,Suppressed
,"13 years","13","Male","M","Not Hispanic or Latino","2186-2",Suppressed,53754,Suppressed
,"14 years","14","Male","M","Not Hispanic or Latino","2186-2",Suppressed,53839,Suppressed
,"15 years","15","Male","M","Not Hispanic or Latino","2186-2",16,54078,Unreliable
,"16 years","16","Male","M","Not Hispanic or Latino","2186-2",17,55030,Unreliable
,"17 years","17","Male","M","Not Hispanic or Latino","2186-2",19,56233,Unreliable
,"18 years","18","Male","M","Not Hispanic or Latino","2186-2",24,66391,36.1
,"19 years","19","Male","M","Not Hispanic or Latino","2186-2",46,79396,57.9
,"20 years","20","Male","M","Not Hispanic or Latino","2186-2",55,84469,65.1
,"21 years","21","Male","M","Not Hispanic or Latino","2186-2",71,87091,81.5
,"22 years","22","Male","M","Not Hispanic or Latino","2186-2",95,90747,104.7
,"23 years","23","Male","M","Not Hispanic or Latino","2186-2",75,90779,82.6
,"24 years","24","Male","M","Not Hispanic or Latino","2186-2",88,92748,94.9
,"25 years","25","Male","M","Not Hispanic or Latino","2186-2",76,94691,80.3
,"26 years","26","Male","M","Not Hispanic or Latino","2186-2",72,96612,74.5
