"Notes"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate	Crude Rate Standard Error
	"Female"	"F"	"< 1 year"	"0"	987	275915	357.7	11.4
	"Female"	"F"	"1 year"	"1"	73	277161	26.3	3.1
	"Female"	"F"	"2 years"	"2"	52	281018	18.5	2.6
	"Female"	"F"	"3 years"	"3"	22	284872	7.7	1.6
	"Female"	"F"	"4 years"	"4"	21	284705	7.4	1.6
	"Female"	"F"	"5 years"	"5"	22	283962	7.7	1.7
	"Female"	"F"	"6 years"	"6"	28	281156	10.0	1.9
	"Female"	"F"	"7 years"	"7"	26	277567	9.4	1.8
	"Female"	"F"	"8 years"	"8"	23	277926	8.3	1.7
	"Female"	"F"	"9 years"	"9"	13	276962	Unreliable	1.3
	"Female"	"F"	"10 years"	"10"	15	274480	Unreliable	1.4
	"Female"	"F"	"11 years"	"11"	16	273664	Unreliable	1.5
	"Female"	"F"	"12 years"	"12"	15	265568	Unreliable	1.5
	"Female"	"F"	"13 years"	"13"	28	260141	10.8	2.0
	"Female"	"F"	"14 years"	"14"	35	252165	13.9	2.3
	"Female"	"F"	"15 years"	"15"	35	241101	14.5	2.5
	"Female"	"F"	"16 years"	"16"	44	232319	18.9	2.9
	"Female"	"F"	"17 years"	"17"	39	227142	17.2	2.7
	"Female"	"F"	"18 years"	"18"	72	222248	32.4	3.8
	"Female"	"F"	"19 years"	"19"	57	216885	26.3	3.5
	"Female"	"F"	"20 years"	"20"	77	211674	36.4	4.1
	"Female"	"F"	"21 years"	"21"	84	206829	40.6	4.4
	"Female"	"F"	"22 years"	"22"	73	200688	36.4	4.3
	"Female"	"F"	"23 years"	"23"	86	195902	43.9	4.7
	"Female"	"F"	"24 years"	"24"	59	192109	30.7	4.0
	"Female"	"F"	"25 years"	"25"	76	186827	40.7	4.7
	"Female"	"F"	"26 years"	"26"	91	182674	49.8	5.2
	"Female"	"F"	"27 years"	"27"	98	179553	54.6	5.5
	"Female"	"F"	"28 years"	"28"	89	171968	51.8	5.5
	"Female"	"F"	"29 years"	"29"	84	164557	51.0	5.6
	"Female"	"F"	"30 years"	"30"	86	156022	55.1	5.9
	"Female"	"F"	"31 years"	"31"	89	147546	60.3	6.4
	"Female"	"F"	"32 years"	"32"	74	140050	52.8	6.1
	"Female"	"F"	"33 years"	"33"	106	134235	79.0	7.7
	"Female"	"F"	"34 years"	"34"	96	129645	74.0	7.6
	"Female"	"F"	"35 years"	"35"	104	125595	82.8	8.1
	"Female"	"F"	"36 years"	"36"	110	123655	89.0	8.5
	"Female"	"F"	"37 years"	"37"	117	120054	97.5	9.0
	"Female"	"F"	"38 years"	"38"	126	118769	106.1	9.5
	"Female"	"F"	"39 years"	"39"	114	114469	99.6	9.3
	"Female"	"F"	"40 years"	"40"	121	108769	111.2	10.1
	"Female"	"F"	"41 years"	"41"	101	105576	95.7	9.5
	"Female"	"F"	"42 years"	"42"	134	99716	134.4	11.6
	"Female"	"F"	"43 years"	"43"	96	95510	100.5	10.3
	"Female"	"F"	"44 years"	"44"	128	92570	138.3	12.2
	"Female"	"F"	"45 years"	"45"	118	89150	132.4	12.2
	"Female"	"F"	"46 years"	"46"	125	87967	142.1	12.7
	"Female"	"F"	"47 years"	"47"	145	88167	164.5	13.7
	"Female"	"F"	"48 years"	"48"	136	87933	154.7	13.3
	"Female"	"F"	"49 years"	"49"	153	84805	180.4	14.6
	"Female"	"F"	"50 years"	"50"	147	82163	178.9	14.8
	"Female"	"F"	"51 years"	"51"	168	78587	213.8	16.5
	"Female"	"F"	"52 years"	"52"	176	75508	233.1	17.6
	"Female"	"F"	"53 years"	"53"	172	74914	229.6	17.5
	"Female"	"F"	"54 years"	"54"	190	75297	252.3	18.3
	"Female"	"F"	"55 years"	"55"	229	74901	305.7	20.2
	"Female"	"F"	"56 years"	"56"	216	75125	287.5	19.6
	"Female"	"F"	"57 years"	"57"	250	74637	335.0	21.2
	"Female"	"F"	"58 years"	"58"	256	73893	346.4	21.7
	"Female"	"F"	"59 years"	"59"	279	72391	385.4	23.1
	"Female"	"F"	"60 years"	"60"	271	69770	388.4	23.6
	"Female"	"F"	"61 years"	"61"	308	68036	452.7	25.8
	"Female"	"F"	"62 years"	"62"	314	65379	480.3	27.1
	"Female"	"F"	"63 years"	"63"	331	62901	526.2	28.9
	"Female"	"F"	"64 years"	"64"	311	59999	518.3	29.4
	"Female"	"F"	"65 years"	"65"	312	56746	549.8	31.1
	"Female"	"F"	"66 years"	"66"	324	53352	607.3	33.7
	"Female"	"F"	"67 years"	"67"	332	49780	666.9	36.6
	"Female"	"F"	"68 years"	"68"	301	47625	632.0	36.4
	"Female"	"F"	"69 years"	"69"	344	44779	768.2	41.4
	"Female"	"F"	"70 years"	"70"	365	42592	857.0	44.9
	"Female"	"F"	"71 years"	"71"	357	41460	861.1	45.6
	"Female"	"F"	"72 years"	"72"	363	37505	967.9	50.8
	"Female"	"F"	"73 years"	"73"	343	33264	1031.1	55.7
	"Female"	"F"	"74 years"	"74"	373	32633	1143.0	59.2
	"Female"	"F"	"75 years"	"75"	352	28377	1240.4	66.1
	"Female"	"F"	"76 years"	"76"	384	26414	1453.8	74.2
	"Female"	"F"	"77 years"	"77"	382	24196	1578.8	80.8
	"Female"	"F"	"78 years"	"78"	373	22641	1647.5	85.3
	"Female"	"F"	"79 years"	"79"	368	20282	1814.4	94.6
	"Female"	"F"	"80 years"	"80"	339	18347	1847.7	100.4
	"Female"	"F"	"81 years"	"81"	377	16876	2233.9	115.1
	"Female"	"F"	"82 years"	"82"	359	15336	2340.9	123.5
	"Female"	"F"	"83 years"	"83"	362	14018	2582.4	135.7
	"Female"	"F"	"84 years"	"84"	348	12922	2693.1	144.4
	"Male"	"M"	"< 1 year"	"0"	1229	287718	427.2	12.2
	"Male"	"M"	"1 year"	"1"	95	288879	32.9	3.4
	"Male"	"M"	"2 years"	"2"	64	293055	21.8	2.7
	"Male"	"M"	"3 years"	"3"	38	297709	12.8	2.1
	"Male"	"M"	"4 years"	"4"	30	298350	10.1	1.8
	"Male"	"M"	"5 years"	"5"	22	296860	7.4	1.6
	"Male"	"M"	"6 years"	"6"	23	294064	7.8	1.6
	"Male"	"M"	"7 years"	"7"	26	290960	8.9	1.8
	"Male"	"M"	"8 years"	"8"	17	290121	Unreliable	1.4
	"Male"	"M"	"9 years"	"9"	13	287576	Unreliable	1.3
	"Male"	"M"	"10 years"	"10"	22	286147	7.7	1.6
	"Male"	"M"	"11 years"	"11"	25	283208	8.8	1.8
	"Male"	"M"	"12 years"	"12"	20	275773	7.3	1.6
	"Male"	"M"	"13 years"	"13"	39	269837	14.5	2.3
	"Male"	"M"	"14 years"	"14"	43	259661	16.6	2.5
	"Male"	"M"	"15 years"	"15"	52	249013	20.9	2.9
	"Male"	"M"	"16 years"	"16"	89	237776	37.4	4.0
	"Male"	"M"	"17 years"	"17"	102	232605	43.9	4.3
	"Male"	"M"	"18 years"	"18"	135	228546	59.1	5.1
	"Male"	"M"	"19 years"	"19"	144	222543	64.7	5.4
	"Male"	"M"	"20 years"	"20"	168	218418	76.9	5.9
	"Male"	"M"	"21 years"	"21"	179	211440	84.7	6.3
	"Male"	"M"	"22 years"	"22"	166	205704	80.7	6.3
