"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code",Deaths,Population,Crude Rate
,"< 1 year","0","Male","M","Not Hispanic or Latino","2186-2",3380,604339,559.3
,"1 year","1","Male","M","Not Hispanic or Latino","2186-2",238,608810,39.1
,"2 years","2","Male","M","Not Hispanic or Latino","2186-2",156,601652,25.9
,"3 years","3","Male","M","Not Hispanic or Latino","2186-2",104,610896,17.0
,"4 years","4","Male","M","Not Hispanic or Latino","2186-2",90,622477,14.5
,"5 years","5","Male","M","Not Hispanic or Latino","2186-2",76,620135,12.3
,"6 years","6","Male","M","Not Hispanic or Latino","2186-2",67,612485,10.9
,"7 years","7","Male","M","Not Hispanic or Latino","2186-2",72,617632,11.7
,"8 years","8","Male","M","Not Hispanic or Latino","2186-2",64,617837,10.4
,"9 years","9","Male","M","Not Hispanic or Latino","2186-2",58,619000,9.4
,"10 years","10","Male","M","Not Hispanic or Latino","2186-2",61,639915,9.5
,"11 years","11","Male","M","Not Hispanic or Latino","2186-2",71,645332,11.0
,"12 years","12","Male","M","Not Hispanic or Latino","2186-2",79,663030,11.9
,"13 years","13","Male","M","Not Hispanic or Latino","2186-2",98,675458,14.5
,"14 years","14","Male","M","Not Hispanic or Latino","2186-2",131,691396,18.9
,"15 years","15","Male","M","Not Hispanic or Latino","2186-2",201,711748,28.2
,"16 years","16","Male","M","Not Hispanic or Latino","2186-2",250,733331,34.1
,"17 years","17","Male","M","Not Hispanic or Latino","2186-2",396,754762,52.5
,"18 years","18","Male","M","Not Hispanic or Latino","2186-2",641,776579,82.5
,"19 years","19","Male","M","Not Hispanic or Latino","2186-2",709,777946,91.1
,"20 years","20","Male","M","Not Hispanic or Latino","2186-2",845,800520,105.6
,"21 years","21","Male","M","Not Hispanic or Latino","2186-2",897,814487,110.1
,"22 years","22","Male","M","Not Hispanic or Latino","2186-2",829,812599,102.0
,"23 years","23","Male","M","Not Hispanic or Latino","2186-2",840,807978,104.0
,"24 years","24","Male","M","Not Hispanic or Latino","2186-2",922,803314,114.8
,"25 years","25","Male","M","Not Hispanic or Latino","2186-2",842,813176,103.5
,"26 years","26","Male","M","Not Hispanic or Latino","2186-2",838,802293,104.5
,"27 years","27","Male","M","Not Hispanic or Latino","2186-2",867,809114,107.2
,"28 years","28","Male","M","Not Hispanic or Latino","2186-2",894,808238,110.6
,"29 years","29","Male","M","Not Hispanic or Latino","2186-2",870,785639,110.7
,"30 years","30","Male","M","Not Hispanic or Latino","2186-2",899,785993,114.4
,"31 years","31","Male","M","Not Hispanic or Latino","2186-2",880,748761,117.5
,"32 years","32","Male","M","Not Hispanic or Latino","2186-2",906,742008,122.1
,"33 years","33","Male","M","Not Hispanic or Latino","2186-2",888,724631,122.5
,"34 years","34","Male","M","Not Hispanic or Latino","2186-2",912,718382,127.0
,"35 years","35","Male","M","Not Hispanic or Latino","2186-2",980,726361,134.9
,"36 years","36","Male","M","Not Hispanic or Latino","2186-2",952,727039,130.9
,"37 years","37","Male","M","Not Hispanic or Latino","2186-2",1074,750700,143.1
,"38 years","38","Male","M","Not Hispanic or Latino","2186-2",1276,777030,164.2
,"39 years","39","Male","M","Not Hispanic or Latino","2186-2",1296,798280,162.3
,"40 years","40","Male","M","Not Hispanic or Latino","2186-2",1463,810713,180.5
,"41 years","41","Male","M","Not Hispanic or Latino","2186-2",1654,812901,203.5
,"42 years","42","Male","M","Not Hispanic or Latino","2186-2",1855,810487,228.9
,"43 years","43","Male","M","Not Hispanic or Latino","2186-2",1969,818769,240.5
,"44 years","44","Male","M","Not Hispanic or Latino","2186-2",2160,834242,258.9
,"45 years","45","Male","M","Not Hispanic or Latino","2186-2",2420,854597,283.2
,"46 years","46","Male","M","Not Hispanic or Latino","2186-2",2846,884155,321.9
,"47 years","47","Male","M","Not Hispanic or Latino","2186-2",3158,910083,347.0
,"48 years","48","Male","M","Not Hispanic or Latino","2186-2",3504,928150,377.5
,"49 years","49","Male","M","Not Hispanic or Latino","2186-2",3929,935568,420.0
,"50 years","50","Male","M","Not Hispanic or Latino","2186-2",4203,930248,451.8
,"51 years","51","Male","M","Not Hispanic or Latino","2186-2",4563,935308,487.9
,"52 years","52","Male","M","Not Hispanic or Latino","2186-2",4996,922682,541.5
,"53 years","53","Male","M","Not Hispanic or Latino","2186-2",5348,909310,588.1
,"54 years","54","Male","M","Not Hispanic or Latino","2186-2",5744,899056,638.9
,"55 years","55","Male","M","Not Hispanic or Latino","2186-2",6235,872209,714.9
,"56 years","56","Male","M","Not Hispanic or Latino","2186-2",6400,847739,754.9
,"57 years","57","Male","M","Not Hispanic or Latino","2186-2",6671,823509,810.1
,"58 years","58","Male","M","Not Hispanic or Latino","2186-2",7057,800933,881.1
,"59 years","59","Male","M","Not Hispanic or Latino","2186-2",7443,775350,960.0
,"60 years","60","Male","M","Not Hispanic or Latino","2186-2",7660,749349,1022.2
,"61 years","61","Male","M","Not Hispanic or Latino","2186-2",7920,751907,1053.3
,"62 years","62","Male","M","Not Hispanic or Latino","2186-2",7986,714311,1118.0
,"63 years","63","Male","M","Not Hispanic or Latino","2186-2",8146,657870,1238.2
,"64 years","64","Male","M","Not Hispanic or Latino","2186-2",8173,623481,1310.9
,"65 years","65","Male","M","Not Hispanic or Latino","2186-2",8054,589089,1367.2
,"66 years","66","Male","M","Not Hispanic or Latino","2186-2",8043,530447,1516.3
,"67 years","67","Male","M","Not Hispanic or Latino","2186-2",8118,497876,1630.5
,"68 years","68","Male","M","Not Hispanic or Latino","2186-2",8471,469076,1805.9
,"69 years","69","Male","M","Not Hispanic or Latino","2186-2",8397,441972,1899.9
,"70 years","70","Male","M","Not Hispanic or Latino","2186-2",8444,408672,2066.2
,"71 years","71","Male","M","Not Hispanic or Latino","2186-2",8547,386981,2208.6
,"72 years","72","Male","M","Not Hispanic or Latino","2186-2",9101,364598,2496.2
