"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate
,"< 1 year","0","Male","M","Not Hispanic or Latino","2186-2","Asian","A",375,135115,277.5
,"1 year","1","Male","M","Not Hispanic or Latino","2186-2","Asian","A",31,138677,22.4
,"2 years","2","Male","M","Not Hispanic or Latino","2186-2","Asian","A",13,144807,Unreliable
,"3 years","3","Male","M","Not Hispanic or Latino","2186-2","Asian","A",16,154498,Unreliable
,"4 years","4","Male","M","Not Hispanic or Latino","2186-2","Asian","A",16,161454,Unreliable
,"5 years","5","Male","M","Not Hispanic or Latino","2186-2","Asian","A",13,166753,Unreliable
,"6 years","6","Male","M","Not Hispanic or Latino","2186-2","Asian","A",15,168408,Unreliable
,"7 years","7","Male","M","Not Hispanic or Latino","2186-2","Asian","A",Suppressed,165454,Suppressed
,"8 years","8","Male","M","Not Hispanic or Latino","2186-2","Asian","A",Suppressed,162209,Suppressed
,"9 years","9","Male","M","Not Hispanic or Latino","2186-2","Asian","A",Suppressed,159912,Suppressed
,"10 years","10","Male","M","Not Hispanic or Latino","2186-2","Asian","A",10,156751,Unreliable
,"11 years","11","Male","M","Not Hispanic or Latino","2186-2","Asian","A",Suppressed,155061,Suppressed
,"12 years","12","Male","M","Not Hispanic or Latino","2186-2","Asian","A",15,155621,Unreliable
,"13 years","13","Male","M","Not Hispanic or Latino","2186-2","Asian","A",14,156788,Unreliable
,"14 years","14","Male","M","Not Hispanic or Latino","2186-2","Asian","A",13,158316,Unreliable
,"15 years","15","Male","M","Not Hispanic or Latino","2186-2","Asian","A",27,159663,16.9
,"16 years","16","Male","M","Not Hispanic or Latino","2186-2","Asian","A",26,159042,16.3
,"17 years","17","Male","M","Not Hispanic or Latino","2186-2","Asian","A",55,158982,34.6
,"18 years","18","Male","M","Not Hispanic or Latino","2186-2","Asian","A",50,167903,29.8
,"19 years","19","Male","M","Not Hispanic or Latino","2186-2","Asian","A",68,161169,42.2
,"20 years","20","Male","M","Not Hispanic or Latino","2186-2","Asian","A",89,158012,56.3
,"21 years","21","Male","M","Not Hispanic or Latino","2186-2","Asian","A",75,161110,46.6
,"22 years","22","Male","M","Not Hispanic or Latino","2186-2","Asian","A",107,167070,64.0
,"23 years","23","Male","M","Not Hispanic or Latino","2186-2","Asian","A",110,174999,62.9
,"24 years","24","Male","M","Not Hispanic or Latino","2186-2","Asian","A",92,185501,49.6
,"25 years","25","Male","M","Not Hispanic or Latino","2186-2","Asian","A",121,197364,61.3
,"26 years","26","Male","M","Not Hispanic or Latino","2186-2","Asian","A",103,208166,49.5
,"27 years","27","Male","M","Not Hispanic or Latino","2186-2","Asian","A",157,218999,71.7
,"28 years","28","Male","M","Not Hispanic or Latino","2186-2","Asian","A",167,230517,72.4
,"29 years","29","Male","M","Not Hispanic or Latino","2186-2","Asian","A",149,241062,61.8
,"30 years","30","Male","M","Not Hispanic or Latino","2186-2","Asian","A",177,247615,71.5
,"31 years","31","Male","M","Not Hispanic or Latino","2186-2","Asian","A",172,252355,68.2
,"32 years","32","Male","M","Not Hispanic or Latino","2186-2","Asian","A",170,252526,67.3
,"33 years","33","Male","M","Not Hispanic or Latino","2186-2","Asian","A",204,249003,81.9
,"34 years","34","Male","M","Not Hispanic or Latino","2186-2","Asian","A",180,244293,73.7
,"35 years","35","Male","M","Not Hispanic or Latino","2186-2","Asian","A",201,239579,83.9
,"36 years","36","Male","M","Not Hispanic or Latino","2186-2","Asian","A",234,235466,99.4
,"37 years","37","Male","M","Not Hispanic or Latino","2186-2","Asian","A",228,232697,98.0
,"38 years","38","Male","M","Not Hispanic or Latino","2186-2","Asian","A",238,227982,104.4
,"39 years","39","Male","M","Not Hispanic or Latino","2186-2","Asian","A",249,224098,111.1
,"40 years","40","Male","M","Not Hispanic or Latino","2186-2","Asian","A",272,218344,124.6
,"41 years","41","Male","M","Not Hispanic or Latino","2186-2","Asian","A",270,210035,128.6
,"42 years","42","Male","M","Not Hispanic or Latino","2186-2","Asian","A",295,203903,144.7
,"43 years","43","Male","M","Not Hispanic or Latino","2186-2","Asian","A",254,200738,126.5
,"44 years","44","Male","M","Not Hispanic or Latino","2186-2","Asian","A",318,200212,158.8
,"45 years","45","Male","M","Not Hispanic or Latino","2186-2","Asian","A",343,200322,171.2
,"46 years","46","Male","M","Not Hispanic or Latino","2186-2","Asian","A",349,201358,173.3
,"47 years","47","Male","M","Not Hispanic or Latino","2186-2","Asian","A",415,202631,204.8
,"48 years","48","Male","M","Not Hispanic or Latino","2186-2","Asian","A",397,202646,195.9
,"49 years","49","Male","M","Not Hispanic or Latino","2186-2","Asian","A",452,202944,222.7
,"50 years","50","Male","M","Not Hispanic or Latino","2186-2","Asian","A",513,200826,255.4
,"51 years","51","Male","M","Not Hispanic or Latino","2186-2","Asian","A",553,195844,282.4
,"52 years","52","Male","M","Not Hispanic or Latino","2186-2","Asian","A",588,189478,310.3
,"53 years","53","Male","M","Not Hispanic or Latino","2186-2","Asian","A",643,184450,348.6
,"54 years","54","Male","M","Not Hispanic or Latino","2186-2","Asian","A",677,180933,374.2
,"55 years","55","Male","M","Not Hispanic or Latino","2186-2","Asian","A",700,178948,391.2
,"56 years","56","Male","M","Not Hispanic or Latino","2186-2","Asian","A",755,178026,424.1
,"57 years","57","Male","M","Not Hispanic or Latino","2186-2","Asian","A",799,177625,449.8
,"58 years","58","Male","M","Not Hispanic or Latino","2186-2","Asian","A",905,175497,515.7
,"59 years","59","Male","M","Not Hispanic or Latino","2186-2","Asian","A",951,174753,544.2
,"60 years","60","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1024,171437,597.3
,"61 years","61","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1133,166565,680.2
,"62 years","62","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1132,163273,693.3
,"63 years","63","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1231,161185,763.7
,"64 years","64","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1394,157724,883.8
,"65 years","65","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1412,154068,916.5
,"66 years","66","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1421,148459,957.2
,"67 years","67","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1508,143114,1053.7
,"68 years","68","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1599,137117,1166.2
,"69 years","69","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1498,133137,1125.2
,"70 years","70","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1738,127572,1362.4
,"71 years","71","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1737,121273,1432.3
,"72 years","72","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1805,114972,1569.9
,"73 years","73","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1914,107469,1781.0
,"74 years","74","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1870,98740,1893.9
,"75 years","75","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1923,90473,2125.5
,"76 years","76","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1875,81778,2292.8
,"77 years","77","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1985,73661,2694.8
,"78 years","78","Male","M","Not Hispanic or Latino","2186-2","Asian","A",2059,68418,3009.4
,"79 years","79","Male","M","Not Hispanic or Latino","2186-2","Asian","A",2039,63918,3190.0
,"80 years","80","Male","M","Not Hispanic or Latino","2186-2","Asian","A",2181,59253,3680.8
,"81 years","81","Male","M","Not Hispanic or Latino","2186-2","Asian","A",2323,54584,4255.8
,"82 years","82","Male","M","Not Hispanic or Latino","2186-2","Asian","A",2283,50231,4545.0
,"83 years","83","Male","M","Not Hispanic or Latino","2186-2","Asian","A",2477,45728,5416.8
,"84 years","84","Male","M","Not Hispanic or Latino","2186-2","Asian","A",2363,41196,5736.0
,"85 years","85","Male","M","Not Hispanic or Latino","2186-2","Asian","A",2452,Not Applicable,Not Applicable
,"86 years","86","Male","M","Not Hispanic or Latino","2186-2","Asian","A",2412,Not Applicable,Not Applicable
,"87 years","87","Male","M","Not Hispanic or Latino","2186-2","Asian","A",2395,Not Applicable,Not Applicable
,"88 years","88","Male","M","Not Hispanic or Latino","2186-2","Asian","A",2310,Not Applicable,Not Applicable
,"89 years","89","Male","M","Not Hispanic or Latino","2186-2","Asian","A",2185,Not Applicable,Not Applicable
,"90 years","90","Male","M","Not Hispanic or Latino","2186-2","Asian","A",2181,Not Applicable,Not Applicable
,"91 years","91","Male","M","Not Hispanic or Latino","2186-2","Asian","A",2037,Not Applicable,Not Applicable
,"92 years","92","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1802,Not Applicable,Not Applicable
,"93 years","93","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1548,Not Applicable,Not Applicable
,"94 years","94","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1344,Not Applicable,Not Applicable
,"95 years","95","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1126,Not Applicable,Not Applicable
,"96 years","96","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1003,Not Applicable,Not Applicable
,"97 years","97","Male","M","Not Hispanic or Latino","2186-2","Asian","A",791,Not Applicable,Not Applicable
,"98 years","98","Male","M","Not Hispanic or Latino","2186-2","Asian","A",604,Not Applicable,Not Applicable
,"99 years","99","Male","M","Not Hispanic or Latino","2186-2","Asian","A",423,Not Applicable,Not Applicable
,"100+ years","100","Male","M","Not Hispanic or Latino","2186-2","Asian","A",907,Not Applicable,Not Applicable
,"Not Stated","NS","Male","M","Not Hispanic or Latino","2186-2","Asian","A",Suppressed,Not Applicable,Not Applicable
"---"
"Dataset: Underlying Cause of Death, 2018-2023, Single Race"
"Query Parameters:"
"Title: CA; 2018-2023; SYA; M; NON; ASIAN; 2023; 5Y"
"Hispanic Origin: Not Hispanic or Latino"
"Sex: Male"
"Single Race 6: Asian"
"States: California (06)"
"Year/Month: 2019; 2020; 2021; 2022; 2023"
"Group By: Single-Year Ages; Sex; Hispanic Origin; Single Race 6"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd-expanded.html for more information."
"---"
"Query Date: Feb 10, 2026 4:18:18 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 2018-2023 on CDC WONDER Online Database, released in 2024. Data are from the Multiple Cause of Death Files,"
"2018-2023, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10-expanded.html on Feb 10, 2026 4:18:18 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
