"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate
,"< 1 year","0","Female","F","Not Hispanic or Latino","2186-2","Asian","A",1298,468675,277.0
,"1 year","1","Female","F","Not Hispanic or Latino","2186-2","Asian","A",99,483345,20.5
,"2 years","2","Female","F","Not Hispanic or Latino","2186-2","Asian","A",62,500717,12.4
,"3 years","3","Female","F","Not Hispanic or Latino","2186-2","Asian","A",67,524412,12.8
,"4 years","4","Female","F","Not Hispanic or Latino","2186-2","Asian","A",51,540279,9.4
,"5 years","5","Female","F","Not Hispanic or Latino","2186-2","Asian","A",42,550282,7.6
,"6 years","6","Female","F","Not Hispanic or Latino","2186-2","Asian","A",41,556694,7.4
,"7 years","7","Female","F","Not Hispanic or Latino","2186-2","Asian","A",42,553278,7.6
,"8 years","8","Female","F","Not Hispanic or Latino","2186-2","Asian","A",40,548462,7.3
,"9 years","9","Female","F","Not Hispanic or Latino","2186-2","Asian","A",36,546449,6.6
,"10 years","10","Female","F","Not Hispanic or Latino","2186-2","Asian","A",46,539683,8.5
,"11 years","11","Female","F","Not Hispanic or Latino","2186-2","Asian","A",34,534513,6.4
,"12 years","12","Female","F","Not Hispanic or Latino","2186-2","Asian","A",40,533443,7.5
,"13 years","13","Female","F","Not Hispanic or Latino","2186-2","Asian","A",40,536405,7.5
,"14 years","14","Female","F","Not Hispanic or Latino","2186-2","Asian","A",63,542380,11.6
,"15 years","15","Female","F","Not Hispanic or Latino","2186-2","Asian","A",68,549901,12.4
,"16 years","16","Female","F","Not Hispanic or Latino","2186-2","Asian","A",98,553485,17.7
,"17 years","17","Female","F","Not Hispanic or Latino","2186-2","Asian","A",96,559662,17.2
,"18 years","18","Female","F","Not Hispanic or Latino","2186-2","Asian","A",103,575455,17.9
,"19 years","19","Female","F","Not Hispanic or Latino","2186-2","Asian","A",124,587221,21.1
,"20 years","20","Female","F","Not Hispanic or Latino","2186-2","Asian","A",112,594357,18.8
,"21 years","21","Female","F","Not Hispanic or Latino","2186-2","Asian","A",157,607082,25.9
,"22 years","22","Female","F","Not Hispanic or Latino","2186-2","Asian","A",156,624419,25.0
,"23 years","23","Female","F","Not Hispanic or Latino","2186-2","Asian","A",164,641536,25.6
,"24 years","24","Female","F","Not Hispanic or Latino","2186-2","Asian","A",174,662845,26.3
,"25 years","25","Female","F","Not Hispanic or Latino","2186-2","Asian","A",186,691265,26.9
,"26 years","26","Female","F","Not Hispanic or Latino","2186-2","Asian","A",160,721023,22.2
,"27 years","27","Female","F","Not Hispanic or Latino","2186-2","Asian","A",188,753929,24.9
,"28 years","28","Female","F","Not Hispanic or Latino","2186-2","Asian","A",213,789559,27.0
,"29 years","29","Female","F","Not Hispanic or Latino","2186-2","Asian","A",234,823708,28.4
,"30 years","30","Female","F","Not Hispanic or Latino","2186-2","Asian","A",245,851787,28.8
,"31 years","31","Female","F","Not Hispanic or Latino","2186-2","Asian","A",234,870092,26.9
,"32 years","32","Female","F","Not Hispanic or Latino","2186-2","Asian","A",261,880043,29.7
,"33 years","33","Female","F","Not Hispanic or Latino","2186-2","Asian","A",321,882534,36.4
,"34 years","34","Female","F","Not Hispanic or Latino","2186-2","Asian","A",279,883493,31.6
,"35 years","35","Female","F","Not Hispanic or Latino","2186-2","Asian","A",298,879139,33.9
,"36 years","36","Female","F","Not Hispanic or Latino","2186-2","Asian","A",384,876735,43.8
,"37 years","37","Female","F","Not Hispanic or Latino","2186-2","Asian","A",326,877492,37.2
,"38 years","38","Female","F","Not Hispanic or Latino","2186-2","Asian","A",384,871372,44.1
,"39 years","39","Female","F","Not Hispanic or Latino","2186-2","Asian","A",418,864289,48.4
,"40 years","40","Female","F","Not Hispanic or Latino","2186-2","Asian","A",481,848782,56.7
,"41 years","41","Female","F","Not Hispanic or Latino","2186-2","Asian","A",465,825137,56.4
,"42 years","42","Female","F","Not Hispanic or Latino","2186-2","Asian","A",511,806362,63.4
,"43 years","43","Female","F","Not Hispanic or Latino","2186-2","Asian","A",493,793112,62.2
,"44 years","44","Female","F","Not Hispanic or Latino","2186-2","Asian","A",595,785045,75.8
,"45 years","45","Female","F","Not Hispanic or Latino","2186-2","Asian","A",615,777744,79.1
,"46 years","46","Female","F","Not Hispanic or Latino","2186-2","Asian","A",656,773545,84.8
,"47 years","47","Female","F","Not Hispanic or Latino","2186-2","Asian","A",747,769740,97.0
,"48 years","48","Female","F","Not Hispanic or Latino","2186-2","Asian","A",762,763768,99.8
,"49 years","49","Female","F","Not Hispanic or Latino","2186-2","Asian","A",929,757829,122.6
,"50 years","50","Female","F","Not Hispanic or Latino","2186-2","Asian","A",943,744577,126.6
,"51 years","51","Female","F","Not Hispanic or Latino","2186-2","Asian","A",1023,721898,141.7
,"52 years","52","Female","F","Not Hispanic or Latino","2186-2","Asian","A",1080,692277,156.0
,"53 years","53","Female","F","Not Hispanic or Latino","2186-2","Asian","A",1174,667489,175.9
,"54 years","54","Female","F","Not Hispanic or Latino","2186-2","Asian","A",1195,647399,184.6
,"55 years","55","Female","F","Not Hispanic or Latino","2186-2","Asian","A",1227,636500,192.8
,"56 years","56","Female","F","Not Hispanic or Latino","2186-2","Asian","A",1324,628746,210.6
,"57 years","57","Female","F","Not Hispanic or Latino","2186-2","Asian","A",1407,620683,226.7
,"58 years","58","Female","F","Not Hispanic or Latino","2186-2","Asian","A",1441,611061,235.8
,"59 years","59","Female","F","Not Hispanic or Latino","2186-2","Asian","A",1661,607607,273.4
,"60 years","60","Female","F","Not Hispanic or Latino","2186-2","Asian","A",1779,592644,300.2
,"61 years","61","Female","F","Not Hispanic or Latino","2186-2","Asian","A",1873,576119,325.1
,"62 years","62","Female","F","Not Hispanic or Latino","2186-2","Asian","A",2091,567918,368.2
,"63 years","63","Female","F","Not Hispanic or Latino","2186-2","Asian","A",2210,561189,393.8
,"64 years","64","Female","F","Not Hispanic or Latino","2186-2","Asian","A",2378,550945,431.6
