"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate
,"< 1 year","0","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1681,496685,338.4
,"1 year","1","Male","M","Not Hispanic or Latino","2186-2","Asian","A",134,513552,26.1
,"2 years","2","Male","M","Not Hispanic or Latino","2186-2","Asian","A",66,531238,12.4
,"3 years","3","Male","M","Not Hispanic or Latino","2186-2","Asian","A",69,556612,12.4
,"4 years","4","Male","M","Not Hispanic or Latino","2186-2","Asian","A",62,574965,10.8
,"5 years","5","Male","M","Not Hispanic or Latino","2186-2","Asian","A",57,585477,9.7
,"6 years","6","Male","M","Not Hispanic or Latino","2186-2","Asian","A",58,591281,9.8
,"7 years","7","Male","M","Not Hispanic or Latino","2186-2","Asian","A",44,586030,7.5
,"8 years","8","Male","M","Not Hispanic or Latino","2186-2","Asian","A",41,580442,7.1
,"9 years","9","Male","M","Not Hispanic or Latino","2186-2","Asian","A",30,576426,5.2
,"10 years","10","Male","M","Not Hispanic or Latino","2186-2","Asian","A",59,567650,10.4
,"11 years","11","Male","M","Not Hispanic or Latino","2186-2","Asian","A",57,560393,10.2
,"12 years","12","Male","M","Not Hispanic or Latino","2186-2","Asian","A",49,558325,8.8
,"13 years","13","Male","M","Not Hispanic or Latino","2186-2","Asian","A",60,558494,10.7
,"14 years","14","Male","M","Not Hispanic or Latino","2186-2","Asian","A",76,560708,13.6
,"15 years","15","Male","M","Not Hispanic or Latino","2186-2","Asian","A",114,564246,20.2
,"16 years","16","Male","M","Not Hispanic or Latino","2186-2","Asian","A",136,563053,24.2
,"17 years","17","Male","M","Not Hispanic or Latino","2186-2","Asian","A",182,564863,32.2
,"18 years","18","Male","M","Not Hispanic or Latino","2186-2","Asian","A",216,579639,37.3
,"19 years","19","Male","M","Not Hispanic or Latino","2186-2","Asian","A",305,592295,51.5
,"20 years","20","Male","M","Not Hispanic or Latino","2186-2","Asian","A",333,599783,55.5
,"21 years","21","Male","M","Not Hispanic or Latino","2186-2","Asian","A",343,614337,55.8
,"22 years","22","Male","M","Not Hispanic or Latino","2186-2","Asian","A",396,634018,62.5
,"23 years","23","Male","M","Not Hispanic or Latino","2186-2","Asian","A",423,652238,64.9
,"24 years","24","Male","M","Not Hispanic or Latino","2186-2","Asian","A",406,673773,60.3
,"25 years","25","Male","M","Not Hispanic or Latino","2186-2","Asian","A",427,699570,61.0
,"26 years","26","Male","M","Not Hispanic or Latino","2186-2","Asian","A",389,723640,53.8
,"27 years","27","Male","M","Not Hispanic or Latino","2186-2","Asian","A",468,748430,62.5
,"28 years","28","Male","M","Not Hispanic or Latino","2186-2","Asian","A",523,774205,67.6
,"29 years","29","Male","M","Not Hispanic or Latino","2186-2","Asian","A",491,799686,61.4
,"30 years","30","Male","M","Not Hispanic or Latino","2186-2","Asian","A",543,818354,66.4
,"31 years","31","Male","M","Not Hispanic or Latino","2186-2","Asian","A",554,829707,66.8
,"32 years","32","Male","M","Not Hispanic or Latino","2186-2","Asian","A",566,834526,67.8
,"33 years","33","Male","M","Not Hispanic or Latino","2186-2","Asian","A",601,832766,72.2
,"34 years","34","Male","M","Not Hispanic or Latino","2186-2","Asian","A",648,828768,78.2
,"35 years","35","Male","M","Not Hispanic or Latino","2186-2","Asian","A",682,820977,83.1
,"36 years","36","Male","M","Not Hispanic or Latino","2186-2","Asian","A",695,813864,85.4
,"37 years","37","Male","M","Not Hispanic or Latino","2186-2","Asian","A",674,809120,83.3
,"38 years","38","Male","M","Not Hispanic or Latino","2186-2","Asian","A",764,795278,96.1
,"39 years","39","Male","M","Not Hispanic or Latino","2186-2","Asian","A",812,783215,103.7
,"40 years","40","Male","M","Not Hispanic or Latino","2186-2","Asian","A",821,762745,107.6
,"41 years","41","Male","M","Not Hispanic or Latino","2186-2","Asian","A",897,735403,122.0
