"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate
,"< 1 year","0","Female","F","Not Hispanic or Latino","2186-2","Asian","A",279,126774,220.1
,"1 year","1","Female","F","Not Hispanic or Latino","2186-2","Asian","A",27,129637,20.8
,"2 years","2","Female","F","Not Hispanic or Latino","2186-2","Asian","A",10,135363,Unreliable
,"3 years","3","Female","F","Not Hispanic or Latino","2186-2","Asian","A",19,143964,Unreliable
,"4 years","4","Female","F","Not Hispanic or Latino","2186-2","Asian","A",13,149790,Unreliable
,"5 years","5","Female","F","Not Hispanic or Latino","2186-2","Asian","A",Suppressed,154366,Suppressed
,"6 years","6","Female","F","Not Hispanic or Latino","2186-2","Asian","A",11,156043,Unreliable
,"7 years","7","Female","F","Not Hispanic or Latino","2186-2","Asian","A",Suppressed,154138,Suppressed
,"8 years","8","Female","F","Not Hispanic or Latino","2186-2","Asian","A",10,151415,Unreliable
,"9 years","9","Female","F","Not Hispanic or Latino","2186-2","Asian","A",14,149516,Unreliable
,"10 years","10","Female","F","Not Hispanic or Latino","2186-2","Asian","A",12,146670,Unreliable
,"11 years","11","Female","F","Not Hispanic or Latino","2186-2","Asian","A",Suppressed,145048,Suppressed
,"12 years","12","Female","F","Not Hispanic or Latino","2186-2","Asian","A",Suppressed,145484,Suppressed
,"13 years","13","Female","F","Not Hispanic or Latino","2186-2","Asian","A",Suppressed,146989,Suppressed
,"14 years","14","Female","F","Not Hispanic or Latino","2186-2","Asian","A",10,149316,Unreliable
,"15 years","15","Female","F","Not Hispanic or Latino","2186-2","Asian","A",12,151426,Unreliable
,"16 years","16","Female","F","Not Hispanic or Latino","2186-2","Asian","A",19,152114,Unreliable
,"17 years","17","Female","F","Not Hispanic or Latino","2186-2","Asian","A",25,153024,16.3
,"18 years","18","Female","F","Not Hispanic or Latino","2186-2","Asian","A",24,166072,14.5
,"19 years","19","Female","F","Not Hispanic or Latino","2186-2","Asian","A",35,159325,22.0
,"20 years","20","Female","F","Not Hispanic or Latino","2186-2","Asian","A",31,152480,20.3
,"21 years","21","Female","F","Not Hispanic or Latino","2186-2","Asian","A",36,154765,23.3
