"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code",Deaths,Population,Crude Rate
,"< 1 year","0","Female","F","Not Hispanic or Latino","2186-2",3220,623463,516.5
,"1 year","1","Female","F","Not Hispanic or Latino","2186-2",231,620045,37.3
,"2 years","2","Female","F","Not Hispanic or Latino","2186-2",163,613982,26.5
,"3 years","3","Female","F","Not Hispanic or Latino","2186-2",91,620845,14.7
,"4 years","4","Female","F","Not Hispanic or Latino","2186-2",99,626470,15.8
,"5 years","5","Female","F","Not Hispanic or Latino","2186-2",115,637989,18.0
,"6 years","6","Female","F","Not Hispanic or Latino","2186-2",76,653107,11.6
,"7 years","7","Female","F","Not Hispanic or Latino","2186-2",69,673898,10.2
,"8 years","8","Female","F","Not Hispanic or Latino","2186-2",85,695227,12.2
,"9 years","9","Female","F","Not Hispanic or Latino","2186-2",95,717001,13.2
,"10 years","10","Female","F","Not Hispanic or Latino","2186-2",76,741536,10.2
,"11 years","11","Female","F","Not Hispanic or Latino","2186-2",85,751930,11.3
,"12 years","12","Female","F","Not Hispanic or Latino","2186-2",102,758966,13.4
,"13 years","13","Female","F","Not Hispanic or Latino","2186-2",100,754111,13.3
,"14 years","14","Female","F","Not Hispanic or Latino","2186-2",156,745495,20.9
,"15 years","15","Female","F","Not Hispanic or Latino","2186-2",155,737967,21.0
,"16 years","16","Female","F","Not Hispanic or Latino","2186-2",209,730772,28.6
,"17 years","17","Female","F","Not Hispanic or Latino","2186-2",236,723454,32.6
,"18 years","18","Female","F","Not Hispanic or Latino","2186-2",313,707060,44.3
,"19 years","19","Female","F","Not Hispanic or Latino","2186-2",311,686106,45.3
,"20 years","20","Female","F","Not Hispanic or Latino","2186-2",298,693094,43.0
,"21 years","21","Female","F","Not Hispanic or Latino","2186-2",305,708314,43.1
,"22 years","22","Female","F","Not Hispanic or Latino","2186-2",291,723915,40.2
,"23 years","23","Female","F","Not Hispanic or Latino","2186-2",294,738300,39.8
,"24 years","24","Female","F","Not Hispanic or Latino","2186-2",296,725680,40.8
,"25 years","25","Female","F","Not Hispanic or Latino","2186-2",302,722330,41.8
,"26 years","26","Female","F","Not Hispanic or Latino","2186-2",311,709701,43.8
,"27 years","27","Female","F","Not Hispanic or Latino","2186-2",315,716167,44.0
,"28 years","28","Female","F","Not Hispanic or Latino","2186-2",306,726825,42.1
,"29 years","29","Female","F","Not Hispanic or Latino","2186-2",380,747684,50.8
,"30 years","30","Female","F","Not Hispanic or Latino","2186-2",385,785453,49.0
,"31 years","31","Female","F","Not Hispanic or Latino","2186-2",463,804217,57.6
,"32 years","32","Female","F","Not Hispanic or Latino","2186-2",511,831699,61.4
,"33 years","33","Female","F","Not Hispanic or Latino","2186-2",616,842827,73.1
,"34 years","34","Female","F","Not Hispanic or Latino","2186-2",684,846301,80.8
,"35 years","35","Female","F","Not Hispanic or Latino","2186-2",701,856150,81.9
,"36 years","36","Female","F","Not Hispanic or Latino","2186-2",778,873735,89.0
,"37 years","37","Female","F","Not Hispanic or Latino","2186-2",844,900856,93.7
,"38 years","38","Female","F","Not Hispanic or Latino","2186-2",1018,930971,109.3
,"39 years","39","Female","F","Not Hispanic or Latino","2186-2",1219,960281,126.9
,"40 years","40","Female","F","Not Hispanic or Latino","2186-2",1272,976801,130.2
,"41 years","41","Female","F","Not Hispanic or Latino","2186-2",1388,979806,141.7
,"42 years","42","Female","F","Not Hispanic or Latino","2186-2",1643,982807,167.2
,"43 years","43","Female","F","Not Hispanic or Latino","2186-2",1773,983670,180.2
,"44 years","44","Female","F","Not Hispanic or Latino","2186-2",1915,977235,196.0
,"45 years","45","Female","F","Not Hispanic or Latino","2186-2",2016,966192,208.7
,"46 years","46","Female","F","Not Hispanic or Latino","2186-2",2251,957405,235.1
,"47 years","47","Female","F","Not Hispanic or Latino","2186-2",2293,948330,241.8
,"48 years","48","Female","F","Not Hispanic or Latino","2186-2",2477,925415,267.7
,"49 years","49","Female","F","Not Hispanic or Latino","2186-2",2684,908944,295.3
,"50 years","50","Female","F","Not Hispanic or Latino","2186-2",2822,891882,316.4
,"51 years","51","Female","F","Not Hispanic or Latino","2186-2",2918,874528,333.7
,"52 years","52","Female","F","Not Hispanic or Latino","2186-2",3147,862387,364.9
,"53 years","53","Female","F","Not Hispanic or Latino","2186-2",3356,852351,393.7
,"54 years","54","Female","F","Not Hispanic or Latino","2186-2",3457,817978,422.6
,"55 years","55","Female","F","Not Hispanic or Latino","2186-2",3508,774518,452.9
,"56 years","56","Female","F","Not Hispanic or Latino","2186-2",3726,734124,507.5
,"57 years","57","Female","F","Not Hispanic or Latino","2186-2",3784,695205,544.3
,"58 years","58","Female","F","Not Hispanic or Latino","2186-2",3884,634022,612.6
,"59 years","59","Female","F","Not Hispanic or Latino","2186-2",4065,608445,668.1
,"60 years","60","Female","F","Not Hispanic or Latino","2186-2",4215,580337,726.3
,"61 years","61","Female","F","Not Hispanic or Latino","2186-2",4342,555597,781.5
,"62 years","62","Female","F","Not Hispanic or Latino","2186-2",4574,523020,874.5
,"63 years","63","Female","F","Not Hispanic or Latino","2186-2",4719,499000,945.7
,"64 years","64","Female","F","Not Hispanic or Latino","2186-2",4930,483339,1020.0
,"65 years","65","Female","F","Not Hispanic or Latino","2186-2",5342,469811,1137.1
,"66 years","66","Female","F","Not Hispanic or Latino","2186-2",5577,454764,1226.4
,"67 years","67","Female","F","Not Hispanic or Latino","2186-2",6070,441863,1373.7
,"68 years","68","Female","F","Not Hispanic or Latino","2186-2",6376,431374,1478.1
,"69 years","69","Female","F","Not Hispanic or Latino","2186-2",6837,427125,1600.7
,"70 years","70","Female","F","Not Hispanic or Latino","2186-2",7535,419136,1797.7
,"71 years","71","Female","F","Not Hispanic or Latino","2186-2",7954,417119,1906.9
,"72 years","72","Female","F","Not Hispanic or Latino","2186-2",8918,415091,2148.4
,"73 years","73","Female","F","Not Hispanic or Latino","2186-2",9485,413627,2293.1
,"74 years","74","Female","F","Not Hispanic or Latino","2186-2",10631,411707,2582.2
,"75 years","75","Female","F","Not Hispanic or Latino","2186-2",11570,405150,2855.7
,"76 years","76","Female","F","Not Hispanic or Latino","2186-2",12461,403399,3089.0
,"77 years","77","Female","F","Not Hispanic or Latino","2186-2",13580,396206,3427.5
,"78 years","78","Female","F","Not Hispanic or Latino","2186-2",14268,386471,3691.9
,"79 years","79","Female","F","Not Hispanic or Latino","2186-2",15515,370128,4191.8
,"80 years","80","Female","F","Not Hispanic or Latino","2186-2",16557,347738,4761.3
,"81 years","81","Female","F","Not Hispanic or Latino","2186-2",17130,323979,5287.4
,"82 years","82","Female","F","Not Hispanic or Latino","2186-2",17711,296536,5972.6
,"83 years","83","Female","F","Not Hispanic or Latino","2186-2",17429,269509,6466.9
,"84 years","84","Female","F","Not Hispanic or Latino","2186-2",18060,241458,7479.6
,"85 years","85","Female","F","Not Hispanic or Latino","2186-2",17784,Not Applicable,Not Applicable
,"86 years","86","Female","F","Not Hispanic or Latino","2186-2",18094,Not Applicable,Not Applicable
,"87 years","87","Female","F","Not Hispanic or Latino","2186-2",18149,Not Applicable,Not Applicable
,"88 years","88","Female","F","Not Hispanic or Latino","2186-2",17751,Not Applicable,Not Applicable
,"89 years","89","Female","F","Not Hispanic or Latino","2186-2",17127,Not Applicable,Not Applicable
,"90 years","90","Female","F","Not Hispanic or Latino","2186-2",16253,Not Applicable,Not Applicable
,"91 years","91","Female","F","Not Hispanic or Latino","2186-2",14895,Not Applicable,Not Applicable
,"92 years","92","Female","F","Not Hispanic or Latino","2186-2",13452,Not Applicable,Not Applicable
,"93 years","93","Female","F","Not Hispanic or Latino","2186-2",11956,Not Applicable,Not Applicable
,"94 years","94","Female","F","Not Hispanic or Latino","2186-2",10387,Not Applicable,Not Applicable
,"95 years","95","Female","F","Not Hispanic or Latino","2186-2",8772,Not Applicable,Not Applicable
,"96 years","96","Female","F","Not Hispanic or Latino","2186-2",7194,Not Applicable,Not Applicable
,"97 years","97","Female","F","Not Hispanic or Latino","2186-2",5688,Not Applicable,Not Applicable
,"98 years","98","Female","F","Not Hispanic or Latino","2186-2",4289,Not Applicable,Not Applicable
,"99 years","99","Female","F","Not Hispanic or Latino","2186-2",3199,Not Applicable,Not Applicable
,"100+ years","100","Female","F","Not Hispanic or Latino","2186-2",6909,Not Applicable,Not Applicable
,"Not Stated","NS","Female","F","Not Hispanic or Latino","2186-2",32,Not Applicable,Not Applicable
"---"
"Dataset: Underlying Cause of Death, 1999-2020"
"Query Parameters:"
"Title: CA; 1999-2020; SYA; F; NON; ALL; 2004; 5Y"
"Hispanic Origin: Not Hispanic or Latino"
"Sex: Female"
"States: California (06)"
"Year/Month: 2000; 2001; 2002; 2003; 2004"
"Group By: Single-Year Ages; Sex; Hispanic Origin"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd.html for more information."
"---"
"Query Date: Feb 9, 2026 7:03:54 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"1999-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10.html on Feb 9, 2026 7:03:54 PM"
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when they include a subset of ages 85-100+ because populations are not"
"available for those ages. More information: http://wonder.cdc.gov/wonder/help/ucd.html#Ages 85-100."
"2. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Not Stated."
"3. Deaths of persons with Hispanic origin ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among"
"Hispanic Origin groups, so are not included in the Hispanic Origin specific counts and rates. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Not Stated."
"4. Information included on the death certificate about the race and Hispanic ethnicity of the decedent is reported by the"
"funeral director as provided by an informant, often the surviving next of kin, or, in the absence of an informant, on the basis"
"of observation. Race and ethnicity information from the census is by self-report. To the extent that race and Hispanic origin"
"are inconsistent between these two data sources, death rates will be biased. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Racial Differences."
"5. The population figures for year 2020 are bridged-race estimates of the July 1 resident population, from the Vintage 2020"
"postcensal series released by NCHS on September 22, 2021. The population figures for year 2019 are bridged-race estimates of the"
"July 1 resident population, from the Vintage 2019 postcensal series released by NCHS on July 9, 2020. The population figures for"
"year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018 postcensal series released by NCHS"
"on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for year 2016 are bridged-race"
"estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS on June 26, 2017. The"
"population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the Vintage 2015 postcensal"
"series released by NCHS on June 28, 2016. The population figures for year 2014 are bridged-race estimates of the July 1 resident"
"population, from the Vintage 2014 postcensal series released by NCHS on June 30, 2015. The population figures for year 2013 are"
"bridged-race estimates of the July 1 resident population, from the Vintage 2013 postcensal series released by NCHS on June 26,"
"2014. The population figures for year 2012 are bridged-race estimates of the July 1 resident population, from the Vintage 2012"
"postcensal series released by NCHS on June 13, 2013. The population figures for year 2011 are bridged-race estimates of the July"
"1 resident population, from the Vintage 2011 postcensal series released by NCHS on July 18, 2012. Population figures for 2010"
"are April 1 Census counts. The population figures for years 2001 - 2009 are bridged-race estimates of the July 1 resident"
"population, from the revised intercensal county-level 2000 - 2009 series released by NCHS on October 26, 2012. Population"
"figures for 2000 are April 1 Census counts. Population figures for 1999 are from the 1990-1999 intercensal series of July 1"
"estimates. Population figures for the infant age groups are the number of live births. <br/><b>Note:</b> Rates and population"
"figures for years 2001 - 2009 differ slightly from previously published reports, due to use of the population estimates which"
"were available at the time of release."
"6. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/ucd.html#Age Group."
