"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code",Deaths,Population,Crude Rate
,"< 1 year","0","Female","F","Not Hispanic or Latino","2186-2",2413,574803,419.8
,"1 year","1","Female","F","Not Hispanic or Latino","2186-2",151,574762,26.3
,"2 years","2","Female","F","Not Hispanic or Latino","2186-2",109,576694,18.9
,"3 years","3","Female","F","Not Hispanic or Latino","2186-2",77,576727,13.4
,"4 years","4","Female","F","Not Hispanic or Latino","2186-2",61,579333,10.5
,"5 years","5","Female","F","Not Hispanic or Latino","2186-2",59,579911,10.2
,"6 years","6","Female","F","Not Hispanic or Latino","2186-2",66,585255,11.3
,"7 years","7","Female","F","Not Hispanic or Latino","2186-2",43,590679,7.3
,"8 years","8","Female","F","Not Hispanic or Latino","2186-2",44,591948,7.4
,"9 years","9","Female","F","Not Hispanic or Latino","2186-2",38,590985,6.4
,"10 years","10","Female","F","Not Hispanic or Latino","2186-2",37,595241,6.2
,"11 years","11","Female","F","Not Hispanic or Latino","2186-2",46,600211,7.7
,"12 years","12","Female","F","Not Hispanic or Latino","2186-2",53,603806,8.8
,"13 years","13","Female","F","Not Hispanic or Latino","2186-2",67,609687,11.0
,"14 years","14","Female","F","Not Hispanic or Latino","2186-2",83,620895,13.4
,"15 years","15","Female","F","Not Hispanic or Latino","2186-2",91,631351,14.4
,"16 years","16","Female","F","Not Hispanic or Latino","2186-2",117,644503,18.2
,"17 years","17","Female","F","Not Hispanic or Latino","2186-2",136,661050,20.6
,"18 years","18","Female","F","Not Hispanic or Latino","2186-2",177,677302,26.1
,"19 years","19","Female","F","Not Hispanic or Latino","2186-2",250,649819,38.5
,"20 years","20","Female","F","Not Hispanic or Latino","2186-2",215,687042,31.3
,"21 years","21","Female","F","Not Hispanic or Latino","2186-2",275,726736,37.8
,"22 years","22","Female","F","Not Hispanic or Latino","2186-2",274,768284,35.7
,"23 years","23","Female","F","Not Hispanic or Latino","2186-2",302,808280,37.4
,"24 years","24","Female","F","Not Hispanic or Latino","2186-2",310,822843,37.7
,"25 years","25","Female","F","Not Hispanic or Latino","2186-2",353,824165,42.8
,"26 years","26","Female","F","Not Hispanic or Latino","2186-2",347,817723,42.4
,"27 years","27","Female","F","Not Hispanic or Latino","2186-2",374,806675,46.4
,"28 years","28","Female","F","Not Hispanic or Latino","2186-2",361,803284,44.9
,"29 years","29","Female","F","Not Hispanic or Latino","2186-2",371,807607,45.9
,"30 years","30","Female","F","Not Hispanic or Latino","2186-2",398,807916,49.3
,"31 years","31","Female","F","Not Hispanic or Latino","2186-2",425,804721,52.8
,"32 years","32","Female","F","Not Hispanic or Latino","2186-2",495,794591,62.3
,"33 years","33","Female","F","Not Hispanic or Latino","2186-2",495,779580,63.5
,"34 years","34","Female","F","Not Hispanic or Latino","2186-2",479,764072,62.7
,"35 years","35","Female","F","Not Hispanic or Latino","2186-2",567,748848,75.7
,"36 years","36","Female","F","Not Hispanic or Latino","2186-2",582,736017,79.1
,"37 years","37","Female","F","Not Hispanic or Latino","2186-2",600,727835,82.4
,"38 years","38","Female","F","Not Hispanic or Latino","2186-2",685,727863,94.1
,"39 years","39","Female","F","Not Hispanic or Latino","2186-2",695,735564,94.5
,"40 years","40","Female","F","Not Hispanic or Latino","2186-2",873,759402,115.0
,"41 years","41","Female","F","Not Hispanic or Latino","2186-2",881,785194,112.2
,"42 years","42","Female","F","Not Hispanic or Latino","2186-2",970,804795,120.5
,"43 years","43","Female","F","Not Hispanic or Latino","2186-2",1143,816535,140.0
,"44 years","44","Female","F","Not Hispanic or Latino","2186-2",1314,822400,159.8
,"45 years","45","Female","F","Not Hispanic or Latino","2186-2",1411,820532,172.0
,"46 years","46","Female","F","Not Hispanic or Latino","2186-2",1557,824407,188.9
,"47 years","47","Female","F","Not Hispanic or Latino","2186-2",1735,840906,206.3
,"48 years","48","Female","F","Not Hispanic or Latino","2186-2",1953,864878,225.8
,"49 years","49","Female","F","Not Hispanic or Latino","2186-2",2296,891679,257.5
,"50 years","50","Female","F","Not Hispanic or Latino","2186-2",2547,917586,277.6
,"51 years","51","Female","F","Not Hispanic or Latino","2186-2",2948,935104,315.3
,"52 years","52","Female","F","Not Hispanic or Latino","2186-2",3113,937918,331.9
,"53 years","53","Female","F","Not Hispanic or Latino","2186-2",3306,939814,351.8
,"54 years","54","Female","F","Not Hispanic or Latino","2186-2",3576,942673,379.3
,"55 years","55","Female","F","Not Hispanic or Latino","2186-2",4005,935677,428.0
,"56 years","56","Female","F","Not Hispanic or Latino","2186-2",4072,925062,440.2
,"57 years","57","Female","F","Not Hispanic or Latino","2186-2",4338,915421,473.9
,"58 years","58","Female","F","Not Hispanic or Latino","2186-2",4490,899371,499.2
,"59 years","59","Female","F","Not Hispanic or Latino","2186-2",4720,876972,538.2
,"60 years","60","Female","F","Not Hispanic or Latino","2186-2",5107,855458,597.0
,"61 years","61","Female","F","Not Hispanic or Latino","2186-2",5386,832699,646.8
,"62 years","62","Female","F","Not Hispanic or Latino","2186-2",5376,809990,663.7
,"63 years","63","Female","F","Not Hispanic or Latino","2186-2",5803,790156,734.4
,"64 years","64","Female","F","Not Hispanic or Latino","2186-2",6114,784984,778.9
,"65 years","65","Female","F","Not Hispanic or Latino","2186-2",6445,744452,865.7
,"66 years","66","Female","F","Not Hispanic or Latino","2186-2",6368,703484,905.2
,"67 years","67","Female","F","Not Hispanic or Latino","2186-2",6654,660713,1007.1
