"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code",Deaths,Population,Crude Rate
,"< 1 year","0","Male","M","Not Hispanic or Latino","2186-2",4031,658847,611.8
,"1 year","1","Male","M","Not Hispanic or Latino","2186-2",302,650867,46.4
,"2 years","2","Male","M","Not Hispanic or Latino","2186-2",220,642509,34.2
,"3 years","3","Male","M","Not Hispanic or Latino","2186-2",163,641997,25.4
,"4 years","4","Male","M","Not Hispanic or Latino","2186-2",117,646720,18.1
,"5 years","5","Male","M","Not Hispanic or Latino","2186-2",112,648404,17.3
,"6 years","6","Male","M","Not Hispanic or Latino","2186-2",116,661274,17.5
,"7 years","7","Male","M","Not Hispanic or Latino","2186-2",83,683713,12.1
,"8 years","8","Male","M","Not Hispanic or Latino","2186-2",91,706219,12.9
,"9 years","9","Male","M","Not Hispanic or Latino","2186-2",111,730458,15.2
,"10 years","10","Male","M","Not Hispanic or Latino","2186-2",124,765754,16.2
,"11 years","11","Male","M","Not Hispanic or Latino","2186-2",107,779168,13.7
,"12 years","12","Male","M","Not Hispanic or Latino","2186-2",135,794747,17.0
,"13 years","13","Male","M","Not Hispanic or Latino","2186-2",165,798852,20.7
,"14 years","14","Male","M","Not Hispanic or Latino","2186-2",233,795104,29.3
,"15 years","15","Male","M","Not Hispanic or Latino","2186-2",295,790887,37.3
,"16 years","16","Male","M","Not Hispanic or Latino","2186-2",424,780697,54.3
,"17 years","17","Male","M","Not Hispanic or Latino","2186-2",590,773703,76.3
,"18 years","18","Male","M","Not Hispanic or Latino","2186-2",822,761068,108.0
,"19 years","19","Male","M","Not Hispanic or Latino","2186-2",905,747161,121.1
,"20 years","20","Male","M","Not Hispanic or Latino","2186-2",939,757898,123.9
,"21 years","21","Male","M","Not Hispanic or Latino","2186-2",965,764896,126.2
,"22 years","22","Male","M","Not Hispanic or Latino","2186-2",932,765578,121.7
,"23 years","23","Male","M","Not Hispanic or Latino","2186-2",875,764251,114.5
,"24 years","24","Male","M","Not Hispanic or Latino","2186-2",834,755565,110.4
,"25 years","25","Male","M","Not Hispanic or Latino","2186-2",804,751163,107.0
,"26 years","26","Male","M","Not Hispanic or Latino","2186-2",908,734148,123.7
,"27 years","27","Male","M","Not Hispanic or Latino","2186-2",814,727674,111.9
,"28 years","28","Male","M","Not Hispanic or Latino","2186-2",775,729712,106.2
,"29 years","29","Male","M","Not Hispanic or Latino","2186-2",846,731044,115.7
,"30 years","30","Male","M","Not Hispanic or Latino","2186-2",820,770975,106.4
,"31 years","31","Male","M","Not Hispanic or Latino","2186-2",949,792839,119.7
,"32 years","32","Male","M","Not Hispanic or Latino","2186-2",1096,823670,133.1
,"33 years","33","Male","M","Not Hispanic or Latino","2186-2",1130,843086,134.0
,"34 years","34","Male","M","Not Hispanic or Latino","2186-2",1260,848718,148.5
,"35 years","35","Male","M","Not Hispanic or Latino","2186-2",1373,856049,160.4
,"36 years","36","Male","M","Not Hispanic or Latino","2186-2",1470,857663,171.4
,"37 years","37","Male","M","Not Hispanic or Latino","2186-2",1547,878247,176.1
,"38 years","38","Male","M","Not Hispanic or Latino","2186-2",1751,903684,193.8
,"39 years","39","Male","M","Not Hispanic or Latino","2186-2",1942,932917,208.2
,"40 years","40","Male","M","Not Hispanic or Latino","2186-2",2179,958343,227.4
,"41 years","41","Male","M","Not Hispanic or Latino","2186-2",2458,975631,251.9
,"42 years","42","Male","M","Not Hispanic or Latino","2186-2",2642,977559,270.3
,"43 years","43","Male","M","Not Hispanic or Latino","2186-2",2823,981077,287.7
,"44 years","44","Male","M","Not Hispanic or Latino","2186-2",3051,975824,312.7
,"45 years","45","Male","M","Not Hispanic or Latino","2186-2",3276,964452,339.7
,"46 years","46","Male","M","Not Hispanic or Latino","2186-2",3618,954440,379.1
,"47 years","47","Male","M","Not Hispanic or Latino","2186-2",3878,943490,411.0
,"48 years","48","Male","M","Not Hispanic or Latino","2186-2",4207,921415,456.6
,"49 years","49","Male","M","Not Hispanic or Latino","2186-2",4430,900006,492.2
,"50 years","50","Male","M","Not Hispanic or Latino","2186-2",4592,875246,524.7
,"51 years","51","Male","M","Not Hispanic or Latino","2186-2",4815,861255,559.1
,"52 years","52","Male","M","Not Hispanic or Latino","2186-2",5127,837121,612.5
,"53 years","53","Male","M","Not Hispanic or Latino","2186-2",5329,822992,647.5
,"54 years","54","Male","M","Not Hispanic or Latino","2186-2",5599,821425,681.6
,"55 years","55","Male","M","Not Hispanic or Latino","2186-2",5770,777281,742.3
,"56 years","56","Male","M","Not Hispanic or Latino","2186-2",5838,735600,793.6
,"57 years","57","Male","M","Not Hispanic or Latino","2186-2",5819,693599,839.0
,"58 years","58","Male","M","Not Hispanic or Latino","2186-2",5981,656012,911.7
,"59 years","59","Male","M","Not Hispanic or Latino","2186-2",6091,594078,1025.3
,"60 years","60","Male","M","Not Hispanic or Latino","2186-2",6340,563464,1125.2
,"61 years","61","Male","M","Not Hispanic or Latino","2186-2",6410,539473,1188.2
,"62 years","62","Male","M","Not Hispanic or Latino","2186-2",6621,508802,1301.3
,"63 years","63","Male","M","Not Hispanic or Latino","2186-2",6635,474427,1398.5
,"64 years","64","Male","M","Not Hispanic or Latino","2186-2",6944,451918,1536.6
,"65 years","65","Male","M","Not Hispanic or Latino","2186-2",7172,433046,1656.2
,"66 years","66","Male","M","Not Hispanic or Latino","2186-2",7389,415095,1780.1
,"67 years","67","Male","M","Not Hispanic or Latino","2186-2",7702,396766,1941.2
,"68 years","68","Male","M","Not Hispanic or Latino","2186-2",8136,380109,2140.4
,"69 years","69","Male","M","Not Hispanic or Latino","2186-2",8472,368821,2297.0
,"70 years","70","Male","M","Not Hispanic or Latino","2186-2",9018,358256,2517.2
